idx,lng,lat,hdong_code,hdong_name,b_code
199467,127.02956534541,37.5082836270381,1168052100,논현1동,1168010800
199468,127.060954116047,37.5042437473546,1168061000,대치2동,1168010600
199472,126.930161642575,37.6134843486198,1138052000,불광1동,1138010300
199473,126.929817903139,37.6134754051046,1138052000,불광1동,1138010300
199474,126.930100545973,37.6134154769181,1138052000,불광1동,1138010300
199475,126.930072305162,37.6132149902199,1138052000,불광1동,1138010300
199476,127.052285899711,37.5031475041471,1168063000,대치4동,1168010600
199477,127.029305852967,37.5105054790891,1168052100,논현1동,1168010800
199480,127.099057316806,37.5022118525857,1171060000,석촌동,1171010500
199481,127.124726584067,37.5033712794344,1171062000,가락본동,1171010700
199482,127.08975078925,37.5009850023559,1171061000,삼전동,1171010600
199484,127.038365407563,37.607033098723,1129071500,월곡1동,1129013600
199506,126.903065272021,37.4606800891401,1154567000,시흥1동,1154510300
199508,126.896941627797,37.4752550616965,1154561000,독산1동,1154510200
199509,127.060532439541,37.5923369407942,1123072000,휘경1동,1123010900
199510,127.0436400441,37.5805758971013,1123070500,청량리동,1123010700
199511,127.068640179318,37.5831741854974,1123073000,휘경2동,1123010900
199512,127.036358793747,37.5855726606931,1123054500,제기동,1123010300
199528,126.908985490665,37.4766938634559,1154563000,독산3동,1154510200
199529,127.042190243058,37.5076587298322,1168064000,역삼1동,1168010100
199530,127.06157655098,37.5026736027234,1168061000,대치2동,1168010600
199531,126.903830935619,37.5003815938197,1156067000,신길5동,1156013200
199533,127.034523786841,37.4786550967528,1165065100,양재1동,1165010200
199534,127.040697290299,37.4771992628169,1165065100,양재1동,1165010200
199545,127.048116191425,37.4807099602121,1168069000,개포4동,1168010300
199548,127.009911577238,37.5748521430853,1111068000,창신2동,1111017400
199566,127.130846814677,37.5257887384587,1174066000,성내3동,1174010800
199567,126.931917566756,37.6177936303259,1138052000,불광1동,1138010300
199568,126.929993865292,37.6219808357867,1138053000,불광2동,1138010300
199569,126.932098668839,37.6189289793695,1138052000,불광1동,1138010300
199570,126.932119768506,37.6187696968692,1138052000,불광1동,1138010300
199571,127.125750975379,37.5270211679263,1174064000,성내1동,1174010800
199572,127.138159418944,37.5454036499293,1174060000,천호1동,1174010900
199573,127.135483579472,37.4929804763729,1171063200,가락2동,1171010700
199574,127.108598169303,37.5078303328082,1171058000,송파1동,1171010400
199575,127.145390202226,37.5372362417746,1174068500,길동,1174010500
199576,127.133159511286,37.5430399475971,1174060000,천호1동,1174010900
199577,127.130403406817,37.5440145704298,1174061000,천호2동,1174010900
199578,127.126911182946,37.5456145846176,1174061000,천호2동,1174010900
199579,126.982814667027,37.5483664204309,1117051000,후암동,1117010100
199580,126.963358378835,37.5227136510455,1117062500,한강로동,1117012800
199581,127.024393277162,37.5495590646602,1120061500,금호2.3가동,1120011100
199582,127.015998336376,37.5460914749138,1120062000,금호4가동,1120011200
199604,126.957459912829,37.5371857220213,1117059000,용문동,1117012100
199605,126.990942580441,37.5417700270627,1117066000,이태원2동,1117013000
199606,126.969725665103,37.5451175809188,1117055500,청파동,1117011000
199607,126.888329380883,37.4881194938944,1153055000,구로4동,1153010200
199608,126.888876027637,37.4873930764228,1153054000,구로3동,1153010200
199609,126.885944613951,37.487209090253,1153055000,구로4동,1153010200
199624,126.922405224186,37.6212834106341,1138053000,불광2동,1138010300
199625,126.887019872098,37.4729681489936,1154551000,가산동,1154510100
199626,126.899910670802,37.4593514402648,1154562000,독산2동,1154510200
199627,126.905445141629,37.4704508693859,1154564000,독산4동,1154510200
199628,127.149397302289,37.4914094644982,1171053200,거여2동,1171011300
199633,126.967959148337,37.4760828732801,1162057500,행운동,1162010100
199634,126.922453387068,37.621153339719,1138053000,불광2동,1138010300
199635,126.933969905191,37.6217191383708,1138053000,불광2동,1138010300
199636,127.135141576094,37.5048740523618,1171057000,오금동,1171011200
199637,127.158135299361,37.4930212547175,1171054000,마천1동,1171011400
199638,127.104149855243,37.5069898270221,1171060000,석촌동,1171010500
199639,127.122132025807,37.4884082771183,1171064100,문정1동,1171010800
199643,126.92179756599,37.6212339957769,1138053000,불광2동,1138010300
199644,126.921769129528,37.6210225151903,1138053000,불광2동,1138010300
199645,126.922519781462,37.6205917077741,1138053000,불광2동,1138010300
199646,126.92321052705,37.6209095771718,1138053000,불광2동,1138010300
199647,126.921811538108,37.4858985621828,1162068500,신사동,1162010200
199648,126.963603732207,37.4782375476614,1162057500,행운동,1162010100
199649,126.961241388115,37.4749964953699,1162058500,낙성대동,1162010100
199650,127.139584273161,37.5014248849179,1171057000,오금동,1171011200
199651,127.14530448756,37.5024362132197,1171055000,마천2동,1171011400
199655,126.848475938565,37.5316454839673,1150059300,화곡8동,1150010300
199656,126.836558102185,37.5353063025272,1150054000,화곡1동,1150010300
199657,126.807239637298,37.5735782231093,1150063000,방화1동,1150010900
199658,126.845309926073,37.5391942810026,1150059000,화곡본동,1150010300
199659,127.014665642297,37.554085396367,1114063500,약수동,1114016200
199660,127.009900715847,37.5612150332343,1114062500,다산동,1114016200
199661,127.006018180271,37.5521422505971,1114062500,다산동,1114016200
199662,127.005120830736,37.5515926840268,1114062500,다산동,1114016200
199663,126.926222414141,37.6183019682256,1138052000,불광1동,1138010300
199664,126.925762655015,37.6183041125518,1138052000,불광1동,1138010300
199665,126.924892519887,37.6180850723854,1138052000,불광1동,1138010300
199666,126.925538242968,37.6185584101175,1138052000,불광1동,1138010300
199667,126.961152255122,37.4748709554195,1162058500,낙성대동,1162010100
199669,126.901295423196,37.4808125991434,1162072500,조원동,1162010200
199670,126.93663355214,37.4784029398676,1162064500,서원동,1162010200
199671,127.10109319316,37.4985883552677,1171060000,석촌동,1171010500
199674,126.861462305222,37.5512671723361,1150053000,등촌2동,1150010200
199675,126.849848052004,37.5302423062508,1150059300,화곡8동,1150010300
199676,126.838615887819,37.5420520309836,1150056000,화곡3동,1150010300
199677,126.848912556035,37.5387576357794,1150059000,화곡본동,1150010300
199681,126.934276306042,37.4658868903999,1162073500,대학동,1162010200
199682,126.957421557522,37.5379797597747,1117059000,용문동,1117012100
199683,126.967366178271,37.54727421438,1117055500,청파동,1117010900
199684,126.956236391745,37.537122385111,1117059000,용문동,1117012100
199685,126.851626608645,37.5319765475346,1150055000,화곡2동,1150010300
199686,126.838744814457,37.5389836748141,1150054000,화곡1동,1150010300
199687,126.863275228258,37.5500344681276,1150053000,등촌2동,1150010200
199697,126.962948557573,37.5407278713989,1117058000,효창동,1117011900
199698,126.968108763293,37.5474868727984,1117055500,청파동,1117010900
199699,126.959339472204,37.5432611057605,1117058000,효창동,1117011900
199700,126.943235196602,37.5825823240519,1141062000,홍제1동,1141011100
199701,126.945217497393,37.5865587124386,1141062000,홍제1동,1141011100
199702,127.125169198757,37.5330782243654,1174065000,성내2동,1174010800
199703,127.129068578987,37.5312562583482,1174065000,성내2동,1174010800
199705,127.136000985574,37.5411993019088,1174062000,천호3동,1174010900
199710,126.944812178521,37.5834775780249,1141062000,홍제1동,1141011100
199711,126.944006646876,37.5830260713341,1141062000,홍제1동,1141011100
199712,126.943974053266,37.5827074646243,1141062000,홍제1동,1141011100
199713,127.009688822855,37.5750726349699,1111068000,창신2동,1111017400
199715,126.998273184336,37.5855821219682,1111065000,혜화동,1111017100
199716,126.996824630991,37.5916163094445,1111065000,혜화동,1111017000
199718,127.071151787961,37.531439782799,1121584000,자양3동,1121510500
199719,127.078553838975,37.5337619261308,1121582000,자양1동,1121510500
199720,126.932119312069,37.6181504476644,1138052000,불광1동,1138010300
199721,126.932364168134,37.6176834260219,1138052000,불광1동,1138010300
199722,126.93261782157,37.6176310435345,1138052000,불광1동,1138010300
199723,127.021440891029,37.5000127993534,1165053100,서초4동,1165010800
199725,127.031435211469,37.4884679425233,1165052000,서초2동,1165010800
199727,126.839307581164,37.5188534716148,1147059000,신월4동,1147010300
199728,126.833356636587,37.523803168378,1147061100,신월7동,1147010300
199729,126.838000654002,37.5153302078423,1147061000,신월6동,1147010300
199730,126.846363314389,37.5257491274533,1147057000,신월2동,1147010300
199743,126.932093044604,37.6178895064537,1138052000,불광1동,1138010300
199746,126.829037890855,37.5300798557498,1147058000,신월3동,1147010300
