순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용도,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감율,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진 설계 적용 여부,내진 능력
seq,plot_lc,signgu_cd,lgldong_cd,plot_div_cd,bun,ji,mng_bldstr_regstr,regstr_div_cd,regstr_div_cd_nm,regstr_knd_cd,regstr_knd_cd_nm,rdnmsys,buld_nm,sprar_nm,blck,lot,outoflot_cnt,nadres_rd_cd,nadres_lgldong_cd,nadres_grnd_udgd_cd,nadres_bbno,nadres_buno,dong_nm,main_atach_div_cd,main_atach_div_cd_nm,plot_ar,bld_ar,bdtlrt,totflar,flart_calc_totflar,flart,strct_cd,strct_cd_nm,etc_strct,main_ppos_cd,main_ppos_cd_nm,etc_ppos,rf_cd,rf_cd_nm,etc_rf,gnr_cnt,hshld_cnt,hgt,grnd_fl_cnt,udgd_fl_cnt,rdng_elvtr_cnt,emgnc_usg_elvtr_cnt,atach_bldstr_cnt,atach_bldstr_ar,tot_dong_totflar,insdhous_mchntp_cnt,insdhous_mchntp_ar,outhous_mchntp_cnt,outhous_mchntp_ar,insdhous_indptp_cnt,insdhous_indptp_ar,outhous_indptp_cnt,outhous_indptp_ar,prmsn_dd,bgncst_dd,use_aprv_dd,prmsn_no_yr,prmsn_no_instt_cd,prmsn_no_instt_cd_nm,prmsn_no_div_cd,prmsn_no_div_cd_nm,hoadr,energy_efic_grd,energy_redcn_rt,epi,ecofrnd_bldstr_grd,ecofrnd_bldstr_cert_score,intlgnt_bldstr_grd,intlgnt_bldstr_cert_score,crt_ymd,rserthqk_dsign_aplcn_yn,rserthqk_ablty
8,서울특별시 마포구 당인동 12-11번지,11440,11800,0,12,11,11440-18692,2,집합,3,표제부,서울특별시 마포구 어울마당로 20,,,,,0,114403113015,11802,0,20,0,A동,0,주건축물,0E-9,82.480000000,0E-9,329.920000000,247.440000000,0E-9,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브위기와,8,0,0E-9,3,1,0,0,0,0E-9,329.920000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,19890817,,19900302,,,,,,0,,0E-9,0,,0,,0,20171205,,
9,서울특별시 마포구 당인동 12-11번지,11440,11800,0,12,11,11440-18693,2,집합,3,표제부,서울특별시 마포구 독막로12길 22,,,,,0,114404139066,11802,0,22,0,B동,0,주건축물,0E-9,82.400000000,0E-9,329.600000000,247.200000000,0E-9,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브위기와,8,0,0E-9,3,1,0,0,0,0E-9,329.600000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,19890817,,19900302,,,,,,0,,0E-9,0,,0,,0,20171205,,
10,서울특별시 마포구 당인동 12-12번지,11440,11800,0,12,12,11440-18694,2,집합,3,표제부,서울특별시 마포구 어울마당로 18,,,,,0,114403113015,11802,0,18,0,,0,주건축물,0E-9,82.460000000,0E-9,329.840000000,247.370000000,0E-9,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브위기와,8,0,0E-9,3,1,0,0,0,0E-9,329.840000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,19890818,,19900302,,,,,,0,,0E-9,0,,0,,0,20171205,,
7,서울특별시 마포구 신공덕동 1-95번지,11440,10300,0,1,95,11440-7870,1,일반,2,일반건축물,서울특별시 마포구 임정로 73-4,,,,,0,114403113032,10302,0,73,4,,0,주건축물,0E-9,32.460000000,0E-9,32.460000000,32.460000000,0E-9,11,벽돌구조,연와조,1000,단독주택,주택,20,기와,세멘와즙,0,1,0E-9,1,0,0,0,0,0E-9,32.460000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,,,19680302,,,,,,0,,0E-9,0,,0,,0,20230904,0,
1,서울특별시 서대문구 연희동 1번지,11410,11700,0,1,0,11410-13480,1,일반,2,일반건축물,서울특별시 서대문구 송죽길 19-3,와이원,,,,0,114104136196,11702,0,19,3,,0,주건축물,118.000000000,67.520000000,57.220000000,299.220000000,0E-9,228.880000000,21,철근콘크리트구조,"철근콘크리트조, 연와조",4000,제2종근린생활시설,"근린생활시설, 단독주택",10,(철근)콘크리트,평스라브,0,1,12.300000000,4,1,0,0,0,0E-9,299.220000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,19960223,19950605,19960116,,,,,,0,,0E-9,0,,0,,0,20240621,0,
2,서울특별시 서대문구 연희동 1-3번지,11410,11700,0,1,3,11410-13481,1,일반,2,일반건축물,서울특별시 서대문구 모래내로 390,동광홈텔,,,,0,114103112015,11702,0,390,0,동광홈텔,0,주건축물,248.000000000,122.140000000,49.250000000,575.410000000,464.530000000,187.310000000,21,철근콘크리트구조,철근콘크리트조,1000,단독주택,다가구주택및근린생활시설,10,(철근)콘크리트,평스라브,0,7,12.500000000,4,1,0,0,0,0E-9,575.410000000,0,0E-9,0,0E-9,0,0E-9,3,34.500000000,19830906,,19831208,,,,,,0,,0E-9,0,,0,,0,20230904,0,
3,서울특별시 서대문구 연희동 1-5번지,11410,11700,0,1,5,11410-13482,1,일반,2,일반건축물,서울특별시 서대문구 모래내로 388,,,,,1,114103112015,11702,0,388,0,,0,주건축물,335.000000000,175.130000000,52.280000000,659.900000000,0E-9,148.070000000,11,벽돌구조,연와조,1000,단독주택,다가구용단독주택,10,(철근)콘크리트,평스라브,0,11,10.400000000,3,1,0,0,0,0E-9,659.900000000,0,0E-9,0,0E-9,4,56.910000000,1,0E-9,19960626,19961002,19970418,,,,,,0,,0E-9,0,,0,,0,20230904,0,
4,서울특별시 서대문구 연희동 1-6번지,11410,11700,0,1,6,11410-100246363,2,집합,3,표제부,서울특별시 서대문구 모래내로 396-2,연희스카이캐슬,,,,0,114103112015,11702,0,396,2,,0,주건축물,397.740000000,234.890000000,59.060000000,658.990000000,658.990000000,165.680000000,21,철근콘크리트구조,철근콘크리트구조,2000,공동주택,공동주택(다세대주택),10,(철근)콘크리트,(철근)콘크리트,15,0,16.600000000,5,0,1,0,0,0E-9,658.990000000,0,0E-9,0,0E-9,10,0E-9,0,0E-9,20210219,20210310,20210927,2021,3120204,건축과,1101,신축허가,0,,0E-9,0,,0,,0,20210929,1,Ⅶ-0.204g
5,서울특별시 서대문구 연희동 1-7번지,11410,11700,0,1,7,11410-13484,1,일반,2,일반건축물,서울특별시 서대문구 모래내로 382,,,,,0,114103112015,11702,0,382,0,,0,주건축물,0E-9,0E-9,0E-9,615.990000000,0E-9,0E-9,21,철근콘크리트구조,철근콘크리트조,3000,제1종근린생활시설,주택및근린생활시설,10,(철근)콘크리트,스라브,0,1,0E-9,4,1,0,0,0,0E-9,615.990000000,0,0E-9,0,0E-9,0,0E-9,0,0E-9,19910401,,19911004,,,,,,0,,0E-9,0,,0,,0,20230904,0,
6,서울특별시 서대문구 연희동 1-10번지,11410,11700,0,1,10,11410-17061,2,집합,3,표제부,서울특별시 서대문구 모래내로 386,태창 훼미리 아파트,,,,1,114103112015,11702,0,386,0,,0,주건축물,568.020000000,340.660000000,97.970000000,2485.750000000,1398.030000000,246.120000000,21,철근콘크리트구조,철근콘크리트조,2000,공동주택,제1종근린생활시설및아파트,10,(철근)콘크리트,평스라브,19,0,13.300000000,5,3,0,0,0,0E-9,2485.750000000,0,0E-9,0,0E-9,19,467.400000000,0,0E-9,19990308,19990326,19991002,,,,,,1,,0E-9,0,,0,,0,20241014,1,
