대지위치,gu_name,hdong_code,hdong_name,SYDATE,total_area,total_units,PNU,lng,lat
서울특별시 도봉구 방학동 660-41,도봉구,11100560,방학2동,1991-10-21,231.3,8.0,1132010600006600041,127.037589739679,37.6666126125751
서울특별시 도봉구 방학동 738,도봉구,11100570,방학3동,1998-10-02,0.0,153.0,1132010600007380000,127.028533511046,37.6634040552475
서울특별시 도봉구 방학동 690-8,도봉구,11100550,방학1동,2001-08-10,168.6,4.0,1132010600006900008,127.037605986788,37.6639945374436
서울특별시 노원구 공릉동 743,노원구,11110560,공릉2동,2000-10-20,0.0,0.0,1135010300007430000,127.080308529909,37.6280886404723
서울특별시 노원구 상계동 1251,노원구,11110660,상계2동,1992-07-16,0.0,0.0,1135010500012510000,127.065210480805,37.6579249388073
서울특별시 송파구 가락동 83-1,송파구,11240650,가락본동,2014-05-30,168.0,8.0,1171010700000830001,127.119333757541,37.4956828023989
서울특별시 강남구 역삼동 784-11,강남구,11230650,역삼2동,2017-03-06,238.5,10.0,1168010100007840011,127.045444145477,37.4947534068936
서울특별시 강남구 역삼동 637-6,강남구,11230640,역삼1동,2017-08-23,206.7,16.0,1168010100006370006,127.032074062821,37.501673287504
서울특별시 금천구 시흥동 955-7,금천구,11180590,시흥3동,1986-05-03,0.0,6.0,1154510300009550007,126.903914833295,37.4394545284625
서울특별시 노원구 상계동 1305,노원구,11110660,상계2동,2003-08-30,0.0,0.0,1135010500013050000,127.063983775645,37.6576198173239
서울특별시 노원구 상계동 1271,노원구,11110650,상계1동,1995-07-03,0.0,0.0,1135010500012710000,127.050702832465,37.6731076450664
서울특별시 금천구 독산동 1040-80,금천구,11180530,독산2동,1976-08-07,0.0,1.0,1154510200010400080,126.904334604295,37.4657357975743
서울특별시 송파구 석촌동 150-5,송파구,11240630,석촌동,2003-08-18,188.1,8.0,1171010500001500005,127.102943397082,37.5048343294963
서울특별시 송파구 마천동 321-21,송파구,11240550,마천1동,1986-08-12,0.0,3.0,1171011400003210021,127.154756351462,37.4926208169943
서울특별시 노원구 공릉동 644-20,노원구,11110790,공릉1동,1977-08-13,0.0,3.0,1135010300006440020,127.078239641965,37.6205293088547
서울특별시 노원구 상계동 407-35,노원구,11110660,상계2동,1986-11-29,0.0,6.0,1135010500004070035,127.067067190793,37.6607473938872
서울특별시 노원구 상계동 48-22,노원구,11110760,상계3·4동,1994-04-04,159.4,7.0,1135010500000480022,127.083557413114,37.6719088426729
서울특별시 노원구 중계동 90-47,노원구,11110600,중계본동,2001-11-29,275.26,9.0,1135010600000900047,127.083251282298,37.6501135119681
서울특별시 서대문구 충정로3가 3-88,서대문구,11130730,충현동,2003-12-11,208.0,4.0,1141010200000030088,126.960443505036,37.5640679540862
서울특별시 서대문구 충정로3가 3-363,서대문구,11130730,충현동,2006-04-27,132.88,7.0,1141010200000030363,126.959691102217,37.5654264919159
서울특별시 송파구 석촌동 17-14,송파구,11240630,석촌동,1993-11-09,201.8,10.0,1171010500000170014,127.099712597378,37.5037577868062
서울특별시 송파구 석촌동 219-16,송파구,11240630,석촌동,1994-08-06,240.2,10.0,1171010500002190016,127.098102514279,37.4995635125733
서울특별시 양천구 신정동 884-5,양천구,11150720,신정4동,1996-02-15,433.8,8.0,1147010100008840005,126.859357272818,37.5276601216969
서울특별시 서대문구 충정로3가 8-1,서대문구,11130730,충현동,1984-07-26,7972.31,12.0,1141010200000080001,126.960073771155,37.5624970325236
서울특별시 서대문구 영천동 100,서대문구,11130520,천연동,1995-06-23,35943.1,144.0,1141010800001000000,126.958794223203,37.5703103898017
서울특별시 송파구 삼전동 47-13,송파구,11240640,삼전동,2002-01-30,201.7,10.0,1171010600000470013,127.089957175527,37.5031489705304
서울특별시 송파구 마천동 368-16,송파구,11240550,마천1동,1983-03-14,105.3,2.0,1171011400003680016,127.157072561361,37.4942528162371
서울특별시 송파구 송파동 148-1,송파구,11240620,송파2동,1991-09-11,596.0,19.0,1171010400001480001,127.117756713959,37.5065646564772
서울특별시 송파구 방이동 122-21,송파구,11240580,방이2동,2003-01-29,198.4,8.0,1171011100001220021,127.116933624193,37.5102208487871
서울특별시 강남구 도곡동 955-7,강남구,11230660,도곡1동,2012-10-23,320.5,24.0,1168011800009550007,127.036417271666,37.4858742216599
서울특별시 강남구 논현동 136-22,강남구,11230520,논현1동,2013-04-11,222.3,14.0,1168010800001360022,127.026365863753,37.5116812618561
서울특별시 강남구 세곡동 425,강남구,11230760,세곡동,2018-03-12,451.0,8.0,1168011100004250000,127.0986197569,37.4682324125414
서울특별시 강남구 논현동 247-1,강남구,11230530,논현2동,2020-06-16,761.0,16.0,1168010800002470001,127.036855650007,37.5142007255001
서울특별시 강남구 역삼동 798-1,강남구,11230640,역삼1동,2021-01-14,,20.0,1168010100007980001,127.03988920382,37.4932100960191
서울특별시 금천구 시흥동 964-2,금천구,11180590,시흥3동,2004-12-30,358.8,12.0,1154510300009640002,126.904594023315,37.4372634492119
서울특별시 강북구 번동 443-6,강북구,11090600,번1동,2013-02-08,931.6,108.0,1130510200004430006,127.026076576838,37.6351692502231
서울특별시 동작구 상도동 359-5,동작구,11200540,상도2동,2012-03-16,182.24,14.0,1159010200003590005,126.936952049788,37.5044826761957
서울특별시 구로구 개봉동 7-26,구로구,11170720,개봉1동,2019-12-19,324.0,13.0,1153010700000070026,126.844688417419,37.5033854830703
서울특별시 금천구 독산동 300-31,금천구,11180520,독산1동,2008-08-04,201.6,8.0,1154510200003000031,126.894368886562,37.4691573671829
서울특별시 금천구 시흥동 817-28,금천구,11180600,시흥4동,2008-12-15,234.2,6.0,1154510300008170028,126.908107579412,37.4560419225787
서울특별시 강서구 등촌동 518-19,강서구,11160530,등촌2동,2015-08-26,140.69,8.0,1150010200005180019,126.858698301192,37.5466588966246
서울특별시 동작구 상도동 1-24,동작구,11200530,상도1동,2017-01-16,276.7,11.0,1159010200000010024,126.951911960778,37.5075179916441
서울특별시 강동구 상일동 347-3,강동구,11250760,상일동,2012-02-22,212.5,6.0,1174010300003470003,127.168769167952,37.5461236803181
서울특별시 강남구 삼성동 58-7,강남구,11230580,삼성1동,1980-02-11,0.0,6.0,1168010500000580007,127.056164203529,37.5192445083315
서울특별시 강남구 신사동 625-9,강남구,11230770,압구정동,1988-05-14,0.0,6.0,1168010700006250009,127.031062918393,37.5240825213337
서울특별시 강동구 암사동 486-59,강동구,11250720,암사1동,2020-03-06,272.1,12.0,1174010700004860059,127.135444991842,37.5494739006053
서울특별시 강동구 암사동 491-34,강동구,11250720,암사1동,2016-06-29,614.5,10.0,1174010700004910034,127.131362136388,37.54895656522
서울특별시 강동구 암사동 458-80,강동구,11250720,암사1동,2019-01-29,239.9,10.0,1174010700004580080,127.133071146813,37.55456669521
서울특별시 강동구 둔촌동 493,강동구,11250710,둔촌2동,2013-06-11,247.9,10.0,1174010600004930000,127.139089956581,37.52982994931
서울특별시 강동구 천호동 337,강동구,11250730,천호2동,2019-11-12,730.0,14.0,1174010900003370000,127.122755657454,37.5447811390329
서울특별시 강동구 성내동 534-6,강동구,11250650,성내1동,2015-01-28,190.4,7.0,1174010800005340006,127.125000178772,37.5303727883377
서울특별시 강동구 길동 364-7,강동구,11250740,길동,2016-10-06,212.2,7.0,1174010500003640007,127.142045191813,37.5385644216691
서울특별시 강동구 천호동 338-32,강동구,11250730,천호2동,2017-04-17,666.9,15.0,1174010900003380032,127.121822834261,37.5427917985076
서울특별시 강동구 암사동 421-32,강동구,11250720,암사1동,2017-04-20,763.0,10.0,1174010700004210032,127.139655596413,37.5514697511787
서울특별시 강동구 강일동 707,강동구,11250750,강일동,2011-01-14,,,1174011000007070000,127.171664703784,37.5611806601526
서울특별시 강동구 강일동 717,강동구,11250750,강일동,2011-01-14,,,1174011000007170000,127.173086679368,37.5595969760082
서울특별시 강동구 성내동 288-45,강동구,11250660,성내2동,2018-09-13,256.7,15.0,1174010800002880045,127.125158429537,37.5326594507284
서울특별시 강동구 암사동 445-13,강동구,11250590,암사3동,2020-09-09,328.7,14.0,1174010700004450013,127.134725856123,37.5561506635634
서울특별시 동작구 상도동 432-1,동작구,11200530,상도1동,2019-08-27,304.6,24.0,1159010200004320001,126.953528907465,37.5008597583633
서울특별시 성북구 길음동 488-1,성북구,11080680,길음2동,2022-10-19,279.0,10.0,1129013400004880001,127.029004167256,37.6114404374434
서울특별시 구로구 온수동 61,구로구,11170690,수궁동,2008-12-03,329.0,8.0,1153011000000610000,126.819629668685,37.4923055361944
서울특별시 마포구 망원동 439-21,마포구,11140700,망원2동,2015-09-24,184.1,7.0,1144012300004390021,126.899487156913,37.5597257534593
서울특별시 은평구 대조동 171-37,은평구,11120580,대조동,2022-12-20,220.2,10.0,1138010600001710037,126.921302620689,37.6109696097837
서울특별시 중랑구 묵동 161-1,중랑구,11070640,묵1동,2022-12-08,,10.0,1126010400001610001,127.079163452893,37.6169710525428
서울특별시 성북구 정릉동 800-43,성북구,11080650,정릉4동,2022-12-27,1125.0,9.0,1129013300008000043,127.004847060142,37.6176637868171
서울특별시 서대문구 연희동 132-57,서대문구,11130760,연희동,1991-07-18,902.0,14.0,1141011700001320057,126.934277464562,37.5744473773398
서울특별시 서대문구 북가좌동 335-1,서대문구,11130720,북가좌2동,1979-08-31,0.0,4.0,1141011900003350001,126.915410722958,37.5859815991443
서울특별시 서대문구 남가좌동 5-259,서대문구,11130700,남가좌2동,1990-10-17,0.0,3.0,1141012000000050259,126.922163512956,37.5810528572512
서울특별시 서대문구 남가좌동 380,서대문구,11130700,남가좌2동,2005-12-09,0.0,0.0,1141012000003800000,126.919067331865,37.5753530696617
서울특별시 강서구 방화동 596-15,강서구,11160710,방화2동,2002-05-03,236.65,8.0,1150010900005960015,126.810968184817,37.56818054074
서울특별시 강서구 화곡동 409-103,강서구,11160630,화곡8동,2001-08-02,226.0,9.0,1150010300004090103,126.847001710274,37.5378171450289
서울특별시 강서구 화곡동 338-18,강서구,11160630,화곡8동,2000-05-10,330.8,8.0,1150010300003380018,126.846563470942,37.5341282437219
서울특별시 구로구 구로동 781-5,구로구,11170540,구로3동,1997-08-21,94.0,4.0,1153010200007810005,126.889718056549,37.486705946047
서울특별시 구로구 항동 16-27,구로구,11170740,항동,1994-02-02,829.0,19.0,1153011200000160027,126.82025096441,37.4853023275162
서울특별시 구로구 가리봉동 134-61,구로구,11170700,가리봉동,1997-04-25,85.2,5.0,1153010300001340061,126.891930195346,37.4804722024564
서울특별시 구로구 구로동 155-25,구로구,11170540,구로3동,1970-11-15,0.0,8.0,1153010200001550025,126.894405444998,37.4908985614754
서울특별시 구로구 궁동 281-4,구로구,11170690,수궁동,1996-01-24,441.6,12.0,1153010900002810004,126.830052357987,37.4973128320571
서울특별시 구로구 구로동 180-17,구로구,11170540,구로3동,2003-05-22,132.0,4.0,1153010200001800017,126.895823321229,37.4876286228649
서울특별시 구로구 구로동 714-37,구로구,11170710,구로2동,1993-08-04,251.29,8.0,1153010200007140037,126.884040150415,37.4867836727013
서울특별시 구로구 구로동 443-19,구로구,11170710,구로2동,2002-06-26,428.06,14.0,1153010200004430019,126.885424927419,37.4961026070284
서울특별시 구로구 개봉동 358-12,구로구,11170650,개봉3동,2000-05-25,291.0,8.0,1153010700003580012,126.854721195303,37.4866684560908
서울특별시 구로구 개봉동 33-81,구로구,11170720,개봉1동,2003-10-09,221.0,7.0,1153010700000330081,126.843699019878,37.5027564480718
서울특별시 양천구 신월동 944-12,양천구,11150630,신월7동,1988-05-25,0.0,8.0,1147010300009440012,126.831573149009,37.5214167683111
서울특별시 양천구 신월동 134-16,양천구,11150570,신월1동,1987-08-21,0.0,9.0,1147010300001340016,126.832177058171,37.5329519719666
서울특별시 양천구 신월동 606-32,양천구,11150580,신월2동,1986-11-03,0.0,6.0,1147010300006060032,126.846319537039,37.5207287789737
서울특별시 양천구 신정동 1217-7,양천구,11150660,신정3동,2000-07-20,143.7,3.0,1147010100012170007,126.849008949341,37.5187249948144
서울특별시 양천구 목동 537-18,양천구,11150520,목2동,1993-09-22,147.2,6.0,1147010200005370018,126.8747927751,37.5443856394712
서울특별시 양천구 신월동 95-13,양천구,11150570,신월1동,1997-12-16,498.4,11.0,1147010300000950013,126.832294713684,37.5354824170901
서울특별시 양천구 신월동 468-29,양천구,11150580,신월2동,1994-02-08,697.3,15.0,1147010300004680029,126.84641382763,37.5255552976604
서울특별시 양천구 신월동 46-23,양천구,11150590,신월3동,1988-09-08,0.0,8.0,1147010300000460023,126.825788213821,37.5362530833719
서울특별시 양천구 신월동 926-3,양천구,11150630,신월7동,1989-01-16,0.0,8.0,1147010300009260003,126.833846012583,37.5244683464205
서울특별시 양천구 신정동 957-2,양천구,11150720,신정4동,2001-07-26,152.3,4.0,1147010100009570002,126.858443712058,37.5239018541302
서울특별시 양천구 목동 520-33,양천구,11150520,목2동,1986-07-12,0.0,5.0,1147010200005200033,126.876749669177,37.5448883832004
서울특별시 강서구 화곡동 158-34,강서구,11160630,화곡8동,2003-08-25,276.9,10.0,1150010300001580034,126.850615511189,37.5326497617923
서울특별시 강서구 등촌동 365-91,강서구,11160530,등촌2동,2002-11-27,165.0,6.0,1150010200003650091,126.857816199063,37.5507801737071
서울특별시 강서구 화곡동 55-86,강서구,11160550,화곡본동,2007-05-22,179.0,5.0,1150010300000550086,126.849267570175,37.5414214430456
서울특별시 강서구 화곡동 392-2,강서구,11160630,화곡8동,2003-06-26,260.5,9.0,1150010300003920002,126.849056087658,37.5333951586511
서울특별시 강서구 등촌동 526-25,강서구,11160530,등촌2동,2007-09-11,319.1,8.0,1150010200005260025,126.862364962817,37.5487232695627
서울특별시 강서구 방화동 217-157,강서구,11160700,방화1동,1976-03-23,0.0,7.0,1150010900002170157,126.816274812325,37.5670074441038
서울특별시 강서구 화곡동 1040-13,강서구,11160580,화곡3동,2002-08-01,226.6,8.0,1150010300010400013,126.834257990686,37.5428861760603
서울특별시 강서구 방화동 479-3,강서구,11160700,방화1동,2003-12-27,748.0,19.0,1150010900004790003,126.810446322487,37.5749872534995
서울특별시 강서구 화곡동 369-24,강서구,11160730,화곡1동,2005-06-30,293.5,8.0,1150010300003690024,126.84010145728,37.5359131113083
서울특별시 강서구 내발산동 710-55,강서구,11160670,발산1동,2001-12-07,205.2,9.0,1150010600007100055,126.833826208347,37.5512908889089
서울특별시 강서구 화곡동 399-2,강서구,11160630,화곡8동,2001-09-24,137.5,5.0,1150010300003990002,126.848832370584,37.53627338724
서울특별시 강서구 등촌동 506-38,강서구,11160530,등촌2동,2003-10-13,165.7,7.0,1150010200005060038,126.86273202964,37.5507166139937
서울특별시 강서구 화곡동 369-26,강서구,11160730,화곡1동,1998-05-27,302.7,10.0,1150010300003690026,126.840270180445,37.5356357416181
서울특별시 강서구 내발산동 676-8,강서구,11160740,우장산동,2002-06-27,178.6,8.0,1150010600006760008,126.837816193189,37.5530399564512
서울특별시 서대문구 연희동 304-9,서대문구,11130760,연희동,1990-12-06,426.0,6.0,1141011700003040009,126.932098270512,37.5660279654865
서울특별시 서대문구 연희동 541-40,서대문구,11130760,연희동,2000-12-29,99.0,5.0,1141011700005410040,126.919601925952,37.5690961158304
서울특별시 서대문구 연희동 715-1,서대문구,11130760,연희동,1984-12-27,248.59,4.0,1141011700007150001,126.930703318643,37.5762975977575
서울특별시 서대문구 홍은동 198-2,서대문구,11130680,홍은2동,1992-03-05,148.34,4.0,1141011800001980002,126.934476256206,37.5903261445194
서울특별시 서대문구 홍은동 408-5,서대문구,11130680,홍은2동,1993-10-16,208.3,9.0,1141011800004080005,126.927039586634,37.5799786536611
서울특별시 서대문구 홍은동 415-92,서대문구,11130680,홍은2동,2002-12-20,197.7,9.0,1141011800004150092,126.928346918648,37.5775210925922
서울특별시 서대문구 홍은동 421-3,서대문구,11130680,홍은2동,1986-11-17,0.0,6.0,1141011800004210003,126.924436133486,37.5823958230034
서울특별시 서대문구 홍은동 455,서대문구,11130660,홍은1동,1997-09-30,64081.0,165.0,1141011800004550000,126.944732392243,37.5953795593755
서울특별시 서대문구 북가좌동 276-25,서대문구,11130720,북가좌2동,2003-05-19,307.4,12.0,1141011900002760025,126.915479498225,37.5829323278592
서울특별시 서대문구 북가좌동 322-8,서대문구,11130720,북가좌2동,2000-12-06,151.6,5.0,1141011900003220008,126.90914278729,37.5814078251531
서울특별시 서대문구 북가좌동 324-6,서대문구,11130720,북가좌2동,1977-04-18,0.0,6.0,1141011900003240006,126.911074418818,37.5817902360941
서울특별시 서대문구 북가좌동 325-7,서대문구,11130720,북가좌2동,2004-06-08,166.9,6.0,1141011900003250007,126.911902613867,37.5820440362124
서울특별시 도봉구 창동 548-14,도봉구,11100610,창3동,1974-10-21,0.0,2.0,1132010700005480014,127.038876760629,37.6360073372783
서울특별시 강북구 미아동 791-2080,강북구,11090690,삼양동,1993-09-14,278.32,11.0,1130510100007912080,127.015435314234,37.6214964899678
서울특별시 강북구 미아동 856-16,강북구,11090710,송중동,1979-06-23,0.0,2.0,1130510100008560016,127.034680608441,37.613512081213
서울특별시 강북구 번동 148-217,강북구,11090610,번2동,1990-09-24,100.0,2.0,1130510200001480217,127.034317019745,37.627022497829
서울특별시 강북구 번동 148-221,강북구,11090610,번2동,2002-11-12,251.3,9.0,1130510200001480221,127.03506111526,37.6273929449705
서울특별시 강북구 번동 437-88,강북구,11090610,번2동,1988-12-29,178.9,6.0,1130510200004370088,127.0295589499,37.6341528383371
서울특별시 강북구 번동 443-135,강북구,11090600,번1동,2001-12-28,328.6,12.0,1130510200004430135,127.026095021139,37.6354284596451
서울특별시 도봉구 창동 30,도봉구,11100620,창4동,1988-10-26,0.0,20.0,1132010700000300000,127.051742474665,37.6464611137803
서울특별시 도봉구 창동 458-10,도봉구,11100610,창3동,2002-10-02,163.05,6.0,1132010700004580010,127.041702118534,37.6378256416297
서울특별시 도봉구 창동 519-20,도봉구,11100610,창3동,1986-06-09,126.0,6.0,1132010700005190020,127.039681273391,37.6340935566377
서울특별시 도봉구 창동 585-13,도봉구,11100600,창2동,2002-07-11,202.31,6.0,1132010700005850013,127.035938424397,37.639965935451
서울특별시 도봉구 창동 609-2,도봉구,11100600,창2동,1986-04-04,244.86,6.0,1132010700006090002,127.040542642951,37.6443221438754
서울특별시 도봉구 창동 609-34,도봉구,11100600,창2동,1995-06-30,265.89,14.0,1132010700006090034,127.039317171031,37.6440211794907
서울특별시 도봉구 창동 623-2,도봉구,11100600,창2동,1991-06-29,200.8,8.0,1132010700006230002,127.036498128877,37.645283012318
서울특별시 도봉구 창동 667-36,도봉구,11100590,창1동,1991-03-07,109.8,3.0,1132010700006670036,127.037873566959,37.6479094866959
서울특별시 도봉구 창동 667-82,도봉구,11100590,창1동,1996-10-11,0.0,10.0,1132010700006670082,127.038162305579,37.6474974640028
서울특별시 도봉구 창동 824,도봉구,11100610,창3동,2004-06-29,0.0,0.0,1132010700008240000,127.042712078629,37.6329124775143
서울특별시 도봉구 도봉동 574-21,도봉구,11100640,도봉1동,2002-06-27,283.0,12.0,1132010800005740021,127.042610923066,37.6850860236274
서울특별시 도봉구 도봉동 586-7,도봉구,11100640,도봉1동,1988-01-13,158.2,6.0,1132010800005860007,127.041375901837,37.6800409858788
서울특별시 도봉구 도봉동 595,도봉구,11100640,도봉1동,1992-09-05,0.0,120.0,1132010800005950000,127.044416589132,37.6792280982444
서울특별시 도봉구 도봉동 609-22,도봉구,11100640,도봉1동,1987-11-12,194.8,6.0,1132010800006090022,127.039850314811,37.6705847430061
서울특별시 도봉구 도봉동 643,도봉구,11100650,도봉2동,1999-09-07,0.0,45.0,1132010800006430000,127.049749156878,37.6781307397219
서울특별시 마포구 염리동 128-78,마포구,11140610,염리동,2003-09-29,175.38,6.0,1144010900001280078,126.948100984527,37.5490512958906
서울특별시 마포구 신수동 429-9,마포구,11140630,신수동,2002-12-09,345.0,8.0,1144011100004290009,126.937358825077,37.5445702840268
서울특별시 마포구 창전동 6-192,마포구,11140760,서강동,2002-08-23,0.0,8.0,1144011400000060192,126.926910531252,37.5522861969831
서울특별시 마포구 창전동 390-14,마포구,11140760,서강동,2002-11-05,370.0,14.0,1144011400003900014,126.928009752223,37.5472113684834
서울특별시 마포구 합정동 441-14,마포구,11140680,합정동,2008-02-15,215.5,7.0,1144012200004410014,126.905837045228,37.5517713982611
서울특별시 마포구 합정동 441-38,마포구,11140680,합정동,2002-08-12,223.1,7.0,1144012200004410038,126.906348250755,37.5518404608672
서울특별시 마포구 동교동 178-7,마포구,11140660,서교동,1994-11-22,279.94,12.0,1144012100001780007,126.92957611187,37.5567270321374
서울특별시 마포구 동교동 190-55,마포구,11140660,서교동,2000-11-13,80.7,3.0,1144012100001900055,126.931951579955,37.5554469365201
서울특별시 마포구 합정동 431-18,마포구,11140680,합정동,1993-10-11,188.4,9.0,1144012200004310018,126.909314664538,37.5528202689481
서울특별시 마포구 망원동 404-12,마포구,11140690,망원1동,2002-05-14,0.0,8.0,1144012300004040012,126.904147006384,37.5550341726201
서울특별시 마포구 망원동 416-54,마포구,11140690,망원1동,2007-12-13,194.75,7.0,1144012300004160054,126.902034098518,37.556137962096
서울특별시 마포구 망원동 432-17,마포구,11140700,망원2동,1992-05-18,185.8,8.0,1144012300004320017,126.901367674444,37.5584968481502
서울특별시 마포구 망원동 471-32,마포구,11140700,망원2동,2002-10-04,143.5,4.0,1144012300004710032,126.903632022437,37.5615747204587
서울특별시 관악구 봉천동 4-2,관악구,11210540,청림동,1976-12-22,0.0,0.0,1162010100000040002,126.959713183016,37.4905217156847
서울특별시 마포구 연남동 245-15,마포구,11140710,연남동,1993-12-31,82.0,5.0,1144012400002450015,126.921188679858,37.5661947186663
서울특별시 마포구 연남동 385-7,마포구,11140710,연남동,1991-05-25,105.8,5.0,1144012400003850007,126.925910344115,37.562463057291
서울특별시 마포구 성산동 213-16,마포구,11140720,성산1동,2003-07-29,340.18,8.0,1144012500002130016,126.907336557791,37.5617929341026
서울특별시 동작구 상도동 279-235,동작구,11200560,상도4동,1995-01-19,258.13,9.0,1159010200002790235,126.937064066038,37.4966071334537
서울특별시 마포구 중동 393,마포구,11140730,성산2동,2002-11-01,0.0,127.0,1144012600003930000,126.911757350757,37.5688136371421
서울특별시 마포구 성산동 30-24,마포구,11140720,성산1동,1998-03-28,307.0,9.0,1144012500000300024,126.910066802631,37.5610009971909
서울특별시 마포구 성산동 47-16,마포구,11140720,성산1동,2004-07-23,333.2,8.0,1144012500000470016,126.91410343494,37.5643475100407
서울특별시 마포구 성산동 114-3,마포구,11140720,성산1동,2007-08-23,857.2,16.0,1144012500001140003,126.91480518259,37.56236880021
서울특별시 마포구 성산동 114-18,마포구,11140720,성산1동,2000-06-28,310.7,8.0,1144012500001140018,126.914923236308,37.5625652124345
서울특별시 마포구 성산동 157-8,마포구,11140730,성산2동,1992-01-31,0.0,8.0,1144012500001570008,126.905226505471,37.5688378573569
서울특별시 은평구 불광동 346-42,은평구,11120520,불광1동,1990-12-28,0.0,6.0,1138010300003460042,126.928730715263,37.6201140445789
서울특별시 은평구 불광동 436-3,은평구,11120720,불광2동,2002-05-15,167.0,9.0,1138010300004360003,126.92625203002,37.6240966871436
서울특별시 서초구 서초동 1468,서초구,11220530,서초3동,2011-04-22,,,1165010800014680000,127.008593850027,37.4797671683716
