대지위치,법정동코드명,대지면적,주용도코드명,기타용도내용,세대수,사용승인일자
서울특별시 구로구 고척동 340,고척동,,공동주택,경비실2,,2009-07-30
서울특별시 성동구 성수동2가 843,성수동2가,,공동주택,"노인정,방제센타,보육시설,관리사무소,출동경비실,엠디에프실",,2009-06-09
서울특별시 양천구 신월동 1023,신월동,0.0,공동주택,경비실,0.0,2003-12-16
서울특별시 마포구 공덕동 464,공덕동,0.0,제2종근린생활시설,경비실,0.0,2005-11-17
서울특별시 노원구 하계동 354,하계동,0.0,공동주택,경비실,0.0,1999-02-12
서울특별시 서초구 잠원동 50-1,잠원동,0.0,공동주택,경비실,0.0,2004-04-28
서울특별시 성북구 안암동1가 361,안암동1가,0.0,공동주택,경비실,0.0,2005-06-16
서울특별시 강서구 등촌동 713,등촌동,7130.0,공동주택,경비실,0.0,2003-10-30
서울특별시 동작구 상도동 533,상도동,,공동주택,경비실3,,2013-08-14
서울특별시 강서구 내발산동 749,내발산동,36518.3,공동주택,경비실,,2008-06-10
서울특별시 강서구 방화동 852,방화동,28726.58,공동주택,경비실,0.0,1995-05-14
서울특별시 성북구 안암동1가 361,안암동1가,0.0,공동주택,경비실,0.0,2005-06-16
서울특별시 서초구 서초동 1420-18,서초동,0.0,공동주택,"경비실,엠디에프실",0.0,2005-12-27
서울특별시 은평구 녹번동 283,녹번동,,공동주택,경비실,,2019-08-01
서울특별시 서초구 서초동 1359-50,서초동,0.0,공동주택,경비실,0.0,
서울특별시 서초구 서초동 1350-13,서초동,0.0,공동주택,경비실,0.0,
서울특별시 금천구 시흥동 1013-4,시흥동,0.0,공동주택,경비실,0.0,2004-08-06
서울특별시 서초구 서초동 1455-9,서초동,0.0,공동주택,경비실.노인정.관리사무소,0.0,
서울특별시 성북구 정릉동 210,정릉동,0.0,공동주택,경비실,0.0,2003-10-04
서울특별시 서초구 서초동 1620-20,서초동,0.0,공동주택,경비실,0.0,2005-03-23
서울특별시 성북구 정릉동 210,정릉동,0.0,공동주택,경비실,0.0,2003-10-04
서울특별시 성북구 보문동3가 2,보문동3가,0.0,공동주택,경비실,0.0,2003-08-30
서울특별시 마포구 창전동 449,창전동,,공동주택,경비실,,2019-05-24
서울특별시 은평구 불광동 645-1,불광동,2436.7,공동주택,"경비실,창고",,2018-11-29
서울특별시 중랑구 망우동 580-1,망우동,0.0,공동주택,경비실,0.0,2006-04-28
서울특별시 서초구 서초동 1476-18,서초동,0.0,공동주택,경비실,0.0,2005-12-23
서울특별시 서초구 서초동 1491-31,서초동,0.0,공동주택,경비실,0.0,2004-12-09
서울특별시 서초구 서초동 1467-37,서초동,0.0,공동주택,경비실,0.0,2005-12-23
서울특별시 은평구 구산동 355-98,구산동,0.0,공동주택,경비실,0.0,1991-12-28
서울특별시 은평구 진관동 60,진관동,4945.4,공동주택,"주차장,전기실,발전기실,기계실,중앙감시실,빗물기계실,창고,관리사무소/방재실,경비실,MDF실",,2017-09-28
서울특별시 성북구 정릉동 239,정릉동,0.0,공동주택,경비실,0.0,2005-12-28
서울특별시 성북구 정릉동 239,정릉동,0.0,공동주택,경비실,0.0,2005-12-28
서울특별시 성동구 금호동4가 1250,금호동4가,0.0,공동주택,경비실,0.0,2003-01-09
서울특별시 강북구 미아동 1357,미아동,0.0,공동주택,경비실,0.0,2003-12-30
서울특별시 관악구 신림동 1730,신림동,0.0,공동주택,경비실,0.0,2005-06-21
서울특별시 강남구 수서동 723,수서동,,공동주택,통합경비실,,2011-09-02
서울특별시 성북구 정릉동 435,정릉동,0.0,공동주택,경비실,0.0,2005-11-16
서울특별시 관악구 신림동 1726,신림동,0.0,공동주택,"경비실,광통신단자함실",0.0,2004-06-11
서울특별시 성북구 정릉동 494,정릉동,0.0,공동주택,경비실,0.0,2004-04-30
서울특별시 관악구 봉천동 1712,봉천동,0.0,공동주택,경비실,0.0,2003-09-06
서울특별시 서초구 방배동 957-7,방배동,0.0,공동주택,경비실,0.0,
서울특별시 성북구 정릉동 1028,정릉동,0.0,공동주택,경비실,0.0,2006-06-02
서울특별시 성북구 정릉동 1025,정릉동,0.0,공동주택,경비실,0.0,2004-12-23
서울특별시 성북구 정릉동 239,정릉동,0.0,공동주택,경비실,0.0,2005-12-28
서울특별시 마포구 염리동 521,염리동,0.0,공동주택,경비실,1.0,2003-12-05
서울특별시 송파구 잠실동 22,잠실동,,공동주택,경비실,,2008-07-31
서울특별시 성북구 길음동 1280,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 길음동 1279,길음동,0.0,공동주택,경비실,0.0,2003-01-29
서울특별시 성북구 길음동 1279,길음동,0.0,공동주택,경비실,0.0,2003-01-29
서울특별시 성북구 길음동 1280,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 정릉동 1028,정릉동,0.0,공동주택,"관리실,경로당,주민공동시설,보육시설,경비실",0.0,2006-06-02
서울특별시 성북구 길음동 1280,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 길음동 1280,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 길음동 1280,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 정릉동 239,정릉동,0.0,공동주택,경비실,0.0,2005-12-28
서울특별시 성북구 길음동 1278,길음동,0.0,공동주택,경비실,0.0,2003-03-31
서울특별시 송파구 장지동 842,장지동,,공동주택,경비실,,2008-10-20
서울특별시 마포구 상암동 1658,상암동,0.0,공동주택,경비실,0.0,2005-09-20
서울특별시 성북구 길음동 1278-1,길음동,0.0,공동주택,경비실,0.0,2003-05-02
서울특별시 성북구 길음동 1281,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 길음동 1281,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 하월곡동 225,하월곡동,0.0,공동주택,경비실,0.0,2006-07-19
서울특별시 성북구 길음동 1281,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 강동구 강일동 701,강일동,,공동주택,경비실,,2009-03-11
서울특별시 성북구 길음동 1283,길음동,0.0,공동주택,경비실,0.0,2007-07-24
서울특별시 강남구 세곡동 516,세곡동,,공동주택,경비실,,2011-02-23
서울특별시 성북구 길음동 1282,길음동,0.0,공동주택,경비실,0.0,2006-06-23
서울특별시 강남구 도곡동 538-3,도곡동,,공동주택,경비실,,2016-09-02
서울특별시 서초구 서초동 1568-1,서초동,0.0,공동주택,경비실,0.0,
서울특별시 강동구 고덕동 688,고덕동,,공동주택,경비실,,2016-12-29
서울특별시 양천구 신월동 1048,신월동,0.0,공동주택,경비실,0.0,2006-09-15
서울특별시 서초구 반포동 1341,반포동,,공동주택,경비실1,,2018-08-31
서울특별시 구로구 천왕동 276-2,천왕동,,공동주택,"경비실,택배보관소",,2018-09-17
서울특별시 광진구 자양동 813,자양동,,공동주택,경비실,,2008-09-11
서울특별시 광진구 구의동 663,구의동,,공동주택,경비실,,2010-12-30
서울특별시 금천구 시흥동 988-13,시흥동,0.0,공장,경비실,0.0,1974-03-04
서울특별시 성북구 종암동 130,종암동,0.0,공동주택,경비실,0.0,2004-09-24
서울특별시 성북구 종암동 130,종암동,0.0,공동주택,경비실,0.0,2004-09-24
서울특별시 성북구 종암동 130,종암동,0.0,공동주택,경비실,0.0,2004-09-24
서울특별시 성동구 금호동4가 1507,금호동4가,0.0,공동주택,경비실,0.0,2007-03-30
서울특별시 서초구 서초동 1607-6,서초동,0.0,공동주택,경비실,0.0,
서울특별시 성북구 하월곡동 222-1,하월곡동,0.0,공동주택,경비실,0.0,2003-04-30
서울특별시 성북구 상월곡동 101,상월곡동,0.0,공동주택,경비실,0.0,2003-06-27
서울특별시 동대문구 용두동 794,용두동,,공동주택,경비실,,2015-03-13
서울특별시 성북구 하월곡동 225,하월곡동,0.0,공동주택,경비실,0.0,2006-07-19
서울특별시 성동구 금호동1가 633,금호동1가,0.0,공동주택,경비실,0.0,2001-12-03
서울특별시 성북구 하월곡동 226,하월곡동,0.0,공동주택,경비실,0.0,2007-10-23
서울특별시 성북구 하월곡동 222,하월곡동,0.0,공동주택,경비실,0.0,2003-04-30
서울특별시 성북구 상월곡동 101,상월곡동,0.0,공동주택,경비실,0.0,2003-06-27
서울특별시 강서구 마곡동 747,마곡동,,공동주택,공동주택(경비실2),,2016-08-09
서울특별시 동작구 상도동 903,상도동,,공동주택,경비실,,2018-12-03
서울특별시 서초구 서초동 1620-20,서초동,0.0,공동주택,경비실,0.0,2005-03-22
서울특별시 송파구 장지동 878,장지동,,공동주택,주경비실-1,,2015-01-23
서울특별시 성북구 길음동 1280,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 상월곡동 101,상월곡동,0.0,공동주택,경비실,0.0,2003-06-27
서울특별시 용산구 효창동 286,효창동,,공동주택,경비실,,2018-09-21
서울특별시 구로구 항동 공공주택지구내 도시형생활주택,항동,,공동주택,"경비실,무인택배실",,2019-02-22
서울특별시 성북구 길음동 1280-3,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 성북구 길음동 1281,길음동,0.0,공동주택,경비실,0.0,2005-04-20
서울특별시 강남구 자곡동 수서역세권 공공주택지구내,자곡동,,공동주택,경비실,,2023-06-13
서울특별시 중랑구 망우동 583,망우동,,공동주택,경비실,,2012-08-31
서울특별시 성동구 금호동4가 340,금호동4가,,공동주택,경비실,,2007-07-31
서울특별시 강북구 미아동 1353,미아동,0.0,공동주택,경비실,1.0,2004-05-07
서울특별시 노원구 상계동 1293,상계동,0.0,공동주택,경비실,0.0,1999-12-10
서울특별시 도봉구 도봉동 593-37,도봉동,7876.0,공동주택,공동주택(경비실),,2016-09-13
서울특별시 중랑구 묵동 387,묵동,0.0,공동주택,경비실,0.0,2004-03-11
서울특별시 노원구 월계동 18,월계동,0.0,공동주택,경비실,0.0,2002-10-18
서울특별시 구로구 항동 242,항동,,공동주택,"경비실,무인택배보관실",,2019-02-25
서울특별시 구로구 항동 242,항동,,공동주택,경비실,,2019-02-25
서울특별시 노원구 월계동 775,월계동,0.0,공동주택,경비실,0.0,1998-07-29
서울특별시 강북구 미아동 1356,미아동,0.0,공동주택,경비실(2),0.0,2003-06-20
서울특별시 도봉구 도봉동 654,도봉동,0.0,공동주택,경비실,0.0,2003-03-15
서울특별시 강남구 세곡동 533,세곡동,,공동주택,경비실,,2012-08-31
서울특별시 강남구 세곡동 508,세곡동,,공동주택,경비실,,2011-02-23
서울특별시 마포구 상암동 1674,상암동,0.0,공동주택,경비실,0.0,2008-02-01
서울특별시 용산구 이촌동 426,이촌동,0.0,공동주택,경비실,0.0,2002-04-30
서울특별시 도봉구 창동 825,창동,0.0,공동주택,경비실,0.0,2004-07-30
서울특별시 강남구 세곡동 522,세곡동,,공동주택,경비실,,2011-06-16
서울특별시 강남구 세곡동 533,세곡동,,공동주택,경비실,,2012-08-31
서울특별시 서대문구 남가좌동 389,남가좌동,,공동주택,경비실,,2019-12-27
서울특별시 은평구 불광동 629,불광동,0.0,공동주택,"경비실,EV,계단실",0.0,1999-12-01
서울특별시 서초구 우면동 730,우면동,,공동주택,경비실,,2011-12-12
서울특별시 성북구 정릉동 1035,정릉동,,공동주택,경비실,,2009-06-08
서울특별시 용산구 이촌동 415,이촌동,0.0,공동주택,공동주택(경비실),0.0,2000-03-31
서울특별시 용산구 서빙고동 296,서빙고동,0.0,공동주택,경비실,0.0,2002-10-14
서울특별시 용산구 이촌동 418,이촌동,0.0,공동주택,경비실,0.0,2001-06-02
서울특별시 서초구 반포동 1341,반포동,,공동주택,경비실2,,2018-08-31
서울특별시 종로구 구기동 150,구기동,0.0,공동주택,경비실,0.0,1992-08-17
서울특별시 은평구 응암동 771,응암동,,공동주택,경비실,,2022-07-14
서울특별시 노원구 월계동 320-9,월계동,0.0,공동주택,통합경비실1,0.0,2009-11-27
서울특별시 은평구 녹번동 281,녹번동,,공동주택,경비실,,2015-07-22
서울특별시 성북구 성북동 330-84,성북동,,단독주택,"경비실,관리실,전기실,펌프실",,2010-02-26
서울특별시 송파구 장지동 849,장지동,,공동주택,경비실,,2008-08-12
서울특별시 은평구 응암동 767,응암동,,공동주택,경비실2,,2020-05-21
서울특별시 서초구 서초동 1487-145,서초동,0.0,공동주택,경비실,0.0,2005-04-27
서울특별시 강서구 내발산동 751,내발산동,25157.6,공동주택,경비실,0.0,2007-10-04
서울특별시 양천구 신월동 1042,신월동,0.0,공동주택,경비실1,0.0,2006-04-18
서울특별시 성북구 돈암동 524,돈암동,0.0,공동주택,경비실,0.0,2005-06-01
서울특별시 은평구 진관동 132,진관동,,공동주택,경비실,,2010-06-14
서울특별시 동대문구 장안동 572,장안동,0.0,공동주택,경비실,0.0,2006-11-17
서울특별시 은평구 불광동 637,불광동,,공동주택,경비실,,2010-08-30
서울특별시 은평구 진관동 5,진관동,,공동주택,경비실,,2008-05-14
서울특별시 금천구 독산동 1140,독산동,0.0,공동주택,경비실,0.0,2004-10-27
서울특별시 은평구 불광동 641,불광동,,공동주택,경비실,,2010-08-25
서울특별시 용산구 이촌동 434,이촌동,0.0,공동주택,경비실,0.0,2005-11-18
서울특별시 동작구 상도동 520,상도동,0.0,공동주택,경비실,0.0,2007-03-29
서울특별시 노원구 상계동 1275,상계동,0.0,공동주택,경비실,0.0,2001-06-07
서울특별시 은평구 진관동 14,진관동,,공동주택,경비실,,2008-05-14
서울특별시 마포구 아현동 777,아현동,,공동주택,경비실-1,,2014-09-26
서울특별시 구로구 천왕동 281,천왕동,,공동주택,경비실,,2014-01-28
서울특별시 구로구 천왕동 281,천왕동,,공동주택,경비실,,2014-01-28
서울특별시 광진구 광장동 582,광장동,,공동주택,경비실,,2012-03-28
서울특별시 마포구 성산동 595,성산동,39883.2,공동주택,통합경비실,,2011-08-31
서울특별시 광진구 구의동 16-3,구의동,30319.8,운동시설,경비실,,
서울특별시 강서구 마곡동 750,마곡동,,공동주택,경비실,,2014-05-29
서울특별시 성북구 석관동 410,석관동,,공동주택,경비실1,,2019-02-28
서울특별시 강서구 화곡동 1145,화곡동,66508.5,공동주택,경비실,0.0,2003-09-06
서울특별시 강서구 화곡동 1145,화곡동,66508.5,공동주택,경비실,0.0,2003-09-06
서울특별시 금천구 독산동 1160,독산동,,업무시설,업무시설(경비실),,2021-05-07
서울특별시 강남구 청담동 14,청담동,0.0,공동주택,경비실,0.0,2006-04-27
서울특별시 강남구 청담동 14,청담동,0.0,공동주택,경비실,0.0,2006-04-27
서울특별시 강서구 화곡동 1145,화곡동,66508.5,공동주택,경비실,0.0,2003-09-06
서울특별시 강서구 화곡동 1145,화곡동,66508.5,공동주택,경비실,0.0,2003-09-06
서울특별시 강서구 화곡동 1145,화곡동,66508.5,공동주택,경비실,0.0,2003-09-06
서울특별시 강남구 역삼동 754-1,역삼동,0.0,공동주택,경비실,0.0,2006-01-02
서울특별시 도봉구 창동 27,창동,0.0,공동주택,경비실,,2017-12-01
서울특별시 강남구 도곡동 527,도곡동,0.0,공동주택,경비실,0.0,2006-01-27
서울특별시 강남구 도곡동 527,도곡동,0.0,공동주택,경비실,0.0,2006-01-27
서울특별시 강남구 도곡동 527,도곡동,0.0,공동주택,경비실,0.0,2006-01-27
서울특별시 금천구 독산동 1147,독산동,,공동주택,경비실1,,2016-11-30
서울특별시 동작구 상도동 903,상도동,,공동주택,경비실,,2018-12-03
서울특별시 강남구 삼성동 7-3,삼성동,0.0,공동주택,경비실,0.0,2007-05-25
서울특별시 관악구 신림동 1704-1,신림동,0.0,공동주택,경비실,0.0,1995-10-06
서울특별시 강남구 삼성동 11,삼성동,0.0,공동주택,경비실,0.0,2007-03-26
서울특별시 동대문구 청량리동 212,청량리동,0.0,공동주택,통합경비실,0.0,2001-09-24
서울특별시 강동구 길동 474,길동,0.0,공동주택,경비실,0.0,2003-11-12
서울특별시 성동구 성수동2가 301-102,성수동2가,0.0,자동차관련시설,"자동차관련시설,경비실",0.0,2004-05-04
서울특별시 관악구 신림동 1721,신림동,0.0,공동주택,경비실,0.0,2004-06-11
서울특별시 영등포구 당산동5가 41,당산동5가,0.0,공동주택,아파트(경비실),0.0,
서울특별시 성북구 석관동 407-4,석관동,2098.0,공동주택,"경비실,MDF실",,2009-06-26
서울특별시 은평구 진관동 150,진관동,,공동주택,경비실,,2015-01-23
서울특별시 성북구 보문동3가 229,보문동3가,,공동주택,경비실,,2013-12-24
서울특별시 은평구 녹번동 283,녹번동,,공동주택,경비실,,2019-08-01
서울특별시 종로구 평창동 45,평창동,0.0,공동주택,경비실,0.0,2004-12-21
서울특별시 종로구 청운동 3,청운동,0.0,제2종근린생활시설,경비실,0.0,1990-11-27
서울특별시 종로구 평창동 45,평창동,0.0,공동주택,경비실,0.0,2004-12-21
서울특별시 성동구 하왕십리동 1070,하왕십리동,,공동주택,"경비실,문주",,2016-11-29
서울특별시 영등포구 문래동3가 97,문래동3가,0.0,공동주택,경비실,0.0,2006-09-29
서울특별시 영등포구 신길동 4497,신길동,0.0,공동주택,경비실,0.0,2005-11-10
서울특별시 강서구 내발산동 745,내발산동,12654.9,공동주택,경비실,0.0,2006-11-13
서울특별시 광진구 자양동 548-4,자양동,0.0,제1종근린생활시설,경비실,0.0,1983-07-20
서울특별시 강남구 세곡동 525,세곡동,,공동주택,경비실,,2011-11-01
서울특별시 마포구 성산동 667,성산동,,공동주택,경비실,,2009-03-05
서울특별시 서대문구 남가좌동 385,남가좌동,,공동주택,경비실2(택지3),,2015-10-26
서울특별시 금천구 독산동 1140,독산동,,공동주택,경비실,0.0,2004-10-27
서울특별시 구로구 고척동 337,고척동,0.0,공동주택,경비실,0.0,2005-12-29
서울특별시 은평구 응암동 767,응암동,,공동주택,경비실1,,2020-05-21
서울특별시 서대문구 현저동 200,현저동,,공동주택,경비실,,
서울특별시 서대문구 남가좌동 390,남가좌동,,공동주택,경비실,,2020-04-23
서울특별시 서대문구 홍제동 473,홍제동,,공동주택,"주민공동시설,경비실",,2020-06-22
서울특별시 서대문구 남가좌동 389,남가좌동,,공동주택,경비실,,2019-12-27
서울특별시 강남구 개포동 1281,개포동,,공동주택,경비실,,2019-08-29
서울특별시 은평구 진관동 3,진관동,,공동주택,경비실,,2008-05-14
서울특별시 은평구 진관동 28,진관동,,공동주택,경비실,,2010-11-30
서울특별시 관악구 봉천동 1712,봉천동,0.0,공동주택,경비실,0.0,2003-09-06
서울특별시 송파구 거여동 651,거여동,,공동주택,"경비실,택배보관함",,2021-08-06
서울특별시 송파구 거여동 696,거여동,,공동주택,경비실,,2021-05-17
서울특별시 강동구 천호동 333-55,천호동,0.0,공동주택,경비실,0.0,2005-10-28
서울특별시 은평구 진관동 101,진관동,,공동주택,경비실,,2009-01-12
