hdong_code,gu_name,hdong_name,HVI_index,reliability
11050550,광진구,중곡1동,38,high
11050560,광진구,중곡2동,31,high
11050570,광진구,중곡3동,37,high
11050580,광진구,중곡4동,25,high
11050590,광진구,능동,30,high
11050600,광진구,구의1동,50,high
11050610,광진구,구의2동,21,high
11050620,광진구,구의3동,23,high
11050630,광진구,광장동,37,high
11050640,광진구,자양1동,46,high
11050650,광진구,자양2동,37,high
11050660,광진구,자양3동,43,high
11050670,광진구,자양4동,57,high
11060710,동대문구,회기동,85,high
11060720,동대문구,휘경1동,77,high
11060730,동대문구,휘경2동,58,high
11060800,동대문구,청량리동,53,high
11060810,동대문구,용신동,41,high
11060820,동대문구,제기동,69,high
11060830,동대문구,전농1동,67,high
11060840,동대문구,전농2동,46,high
11060860,동대문구,답십리2동,49,high
11060870,동대문구,장안1동,33,high
11060880,동대문구,장안2동,39,high
11060890,동대문구,이문1동,63,high
11060900,동대문구,이문2동,48,high
11060910,동대문구,답십리1동,45,high
11070520,중랑구,면목2동,38,high
11070540,중랑구,면목4동,54,high
11070550,중랑구,면목5동,39,high
11070570,중랑구,면목7동,68,high
11070590,중랑구,상봉1동,24,high
11070600,중랑구,상봉2동,49,high
11070610,중랑구,중화1동,34,high
11070620,중랑구,중화2동,47,high
11070640,중랑구,묵1동,23,high
11070650,중랑구,묵2동,38,high
11070680,중랑구,망우3동,38,high
11070690,중랑구,신내1동,32,high
11070700,,신내2동,11,medium
11070710,중랑구,면목본동,36,high
11070720,중랑구,면목3·8동,47,high
11070730,중랑구,망우본동,42,high
11080580,성북구,돈암1동,85,high
11080590,성북구,돈암2동,11,high
11080600,성북구,안암동,71,high
11080610,성북구,보문동,47,high
11080620,성북구,정릉1동,63,high
11080630,성북구,정릉2동,55,high
11080640,성북구,정릉3동,57,high
11080650,성북구,정릉4동,56,high
11080660,성북구,길음1동,33,high
11080680,성북구,길음2동,83,high
11080710,성북구,월곡1동,14,high
11080720,성북구,월곡2동,34,high
11080760,성북구,장위1동,54,high
11080770,성북구,장위2동,60,high
11080780,성북구,장위3동,63,high
11080810,성북구,성북동,39,high
11080820,성북구,삼선동,50,high
11080830,성북구,동선동,69,high
11080840,성북구,종암동,33,high
11080850,성북구,석관동,55,high
11090600,강북구,번1동,60,high
11090610,강북구,번2동,98,high
11090620,강북구,번3동,77,high
11090630,강북구,수유1동,67,high
11090640,강북구,수유2동,57,high
11090650,강북구,수유3동,51,high
11090690,강북구,삼양동,51,high
11090700,강북구,미아동,95,high
11090710,강북구,송중동,82,high
11090720,강북구,송천동,59,high
11090730,강북구,삼각산동,38,high
11090740,강북구,우이동,53,high
11090750,강북구,인수동,66,high
11100510,도봉구,쌍문1동,64,high
11100520,도봉구,쌍문2동,54,high
11100530,도봉구,쌍문3동,65,high
11100540,도봉구,쌍문4동,62,high
11100550,도봉구,방학1동,60,high
11100560,도봉구,방학2동,72,high
11100570,도봉구,방학3동,73,high
11100590,도봉구,창1동,43,high
11100600,도봉구,창2동,53,high
11100610,도봉구,창3동,69,high
11100620,도봉구,창4동,75,high
11100630,도봉구,창5동,80,high
11100640,도봉구,도봉1동,82,high
11100650,도봉구,도봉2동,61,high
11110510,노원구,월계1동,90,high
11110520,노원구,월계2동,73,high
11110530,노원구,월계3동,54,high
11110560,노원구,공릉2동,60,high
11110580,노원구,하계1동,28,high
11110590,,하계2동,82,low
11110600,노원구,중계본동,59,high
11110610,노원구,중계1동,55,high
11110640,노원구,중계4동,52,high
11110650,노원구,상계1동,54,high
11110660,노원구,상계2동,77,high
11110690,노원구,상계5동,87,high
11110740,,상계10동,69,medium
11110760,노원구,상계3·4동,84,high
11110770,,상계6·7동,82,low
11110780,노원구,중계2·3동,45,high
11110790,노원구,공릉1동,77,high
11120510,은평구,녹번동,63,high
11120520,은평구,불광1동,81,high
11120550,은평구,갈현1동,70,high
11120560,은평구,갈현2동,48,high
11120570,은평구,구산동,52,high
11120580,은평구,대조동,51,high
11120590,은평구,응암1동,56,high
11120600,은평구,응암2동,72,high
11120650,은평구,신사1동,52,high
11120660,은평구,신사2동,76,high
11120670,은평구,증산동,71,high
11120680,은평구,수색동,81,high
11120710,,진관동,22,medium
11120720,은평구,불광2동,76,high
11120730,은평구,응암3동,87,high
11120740,은평구,역촌동,45,high
11130520,서대문구,천연동,41,high
11130620,서대문구,홍제1동,69,high
11130640,서대문구,홍제3동,64,high
11130650,서대문구,홍제2동,64,high
11130660,서대문구,홍은1동,65,high
11130680,서대문구,홍은2동,68,high
11130690,서대문구,남가좌1동,62,high
11130700,서대문구,남가좌2동,78,high
11130710,서대문구,북가좌1동,73,high
11130720,서대문구,북가좌2동,39,high
11130730,서대문구,충현동,55,high
11130740,서대문구,북아현동,86,high
11130750,서대문구,신촌동,86,high
11130760,서대문구,연희동,63,high
11140590,마포구,용강동,25,high
11140600,마포구,대흥동,64,high
11140610,마포구,염리동,74,high
11140630,마포구,신수동,49,high
11140660,마포구,서교동,68,high
11140680,마포구,합정동,70,high
11140690,마포구,망원1동,69,high
11140700,마포구,망원2동,65,high
11140710,마포구,연남동,67,high
11140720,마포구,성산1동,54,high
11140730,마포구,성산2동,75,high
11140740,마포구,상암동,65,high
11140750,마포구,도화동,20,high
11140760,마포구,서강동,73,high
11140770,마포구,공덕동,82,high
11140780,마포구,아현동,48,high
11150510,양천구,목1동,43,high
11150520,양천구,목2동,53,high
11150530,양천구,목3동,57,high
11150540,양천구,목4동,57,high
11150570,양천구,신월1동,77,high
11150580,양천구,신월2동,78,high
11150590,양천구,신월3동,87,high
11150600,양천구,신월4동,59,high
11150610,양천구,신월5동,74,high
11150620,양천구,신월6동,100,high
11150630,양천구,신월7동,95,high
11150640,양천구,신정1동,44,high
11150650,양천구,신정2동,65,high
11150660,양천구,신정3동,61,high
11150700,양천구,신정7동,40,high
11150710,양천구,목5동,76,medium
11150720,양천구,신정4동,56,high
11160510,강서구,염창동,20,high
11160520,강서구,등촌1동,43,high
11160530,강서구,등촌2동,33,high
11160540,강서구,등촌3동,7,high
11160550,강서구,화곡본동,62,high
11160570,강서구,화곡2동,54,high
11160580,강서구,화곡3동,28,high
11160590,강서구,화곡4동,49,high
11160610,강서구,화곡6동,45,high
11160630,강서구,화곡8동,54,high
11160650,,가양2동,59,medium
11160670,강서구,발산1동,26,high
11160690,강서구,공항동,59,high
11160700,강서구,방화1동,34,high
11160710,강서구,방화2동,42,high
11160730,강서구,화곡1동,52,high
11160740,강서구,우장산동,33,high
11160751,강서구,가양1동,30,high
11160761,강서구,방화3동,17,high
11170510,구로구,신도림동,85,high
11170520,구로구,구로1동,60,high
11170540,구로구,구로3동,98,high
11170550,구로구,구로4동,68,high
11170560,구로구,구로5동,51,high
11170610,구로구,고척1동,50,high
11170620,구로구,고척2동,66,high
11170640,구로구,개봉2동,41,high
11170650,구로구,개봉3동,38,high
11170670,구로구,오류1동,43,high
11170690,구로구,수궁동,40,high
11170700,구로구,가리봉동,64,high
11170710,구로구,구로2동,49,high
11170720,구로구,개봉1동,69,high
11170730,구로구,오류2동,69,high
11170740,구로구,항동,33,high
11180510,금천구,가산동,61,high
11180520,금천구,독산1동,54,high
11180530,금천구,독산2동,49,high
11180540,금천구,독산3동,44,high
11180550,금천구,독산4동,37,high
11180570,금천구,시흥1동,52,high
11180580,금천구,시흥2동,53,high
11180590,금천구,시흥3동,70,high
11180600,금천구,시흥4동,56,high
11180610,금천구,시흥5동,43,high
11190540,,여의동,72,medium
11190550,영등포구,당산1동,17,high
11190560,영등포구,당산2동,62,high
11190610,영등포구,양평1동,49,high
11190620,영등포구,양평2동,29,high
11190630,영등포구,신길1동,47,high
11190650,영등포구,신길3동,34,high
11190660,영등포구,신길4동,62,high
11190670,영등포구,신길5동,62,high
11190680,영등포구,신길6동,55,high
11190690,영등포구,신길7동,27,high
11190700,영등포구,대림1동,63,high
11190710,영등포구,대림2동,61,high
11190720,영등포구,대림3동,59,high
11190730,영등포구,영등포본동,51,high
11190740,영등포구,영등포동,63,high
11190750,영등포구,도림동,44,high
11190760,영등포구,문래동,7,high
11200520,동작구,노량진2동,92,high
11200530,동작구,상도1동,42,high
11200540,동작구,상도2동,60,high
11200550,동작구,상도3동,32,high
11200560,동작구,상도4동,41,high
11200630,동작구,사당1동,46,high
11200650,동작구,사당3동,62,high
11200660,동작구,사당4동,56,high
11200670,동작구,사당5동,59,high
11200680,동작구,대방동,52,high
11200690,동작구,신대방1동,80,high
11200700,동작구,신대방2동,30,high
11200710,동작구,흑석동,49,high
11200720,동작구,노량진1동,60,high
11200730,동작구,사당2동,32,high
11210520,관악구,보라매동,40,high
11210540,관악구,청림동,81,high
11210570,관악구,행운동,67,high
11210580,관악구,낙성대동,58,high
11210610,관악구,중앙동,55,high
11210620,관악구,인헌동,57,high
11210630,관악구,남현동,33,high
11210640,관악구,서원동,84,high
11210650,관악구,신원동,94,high
11210660,관악구,서림동,72,high
11210680,관악구,신사동,42,high
11210690,관악구,신림동,66,high
11210710,관악구,난향동,62,high
11210720,관악구,조원동,52,high
11210730,관악구,대학동,58,high
11210780,관악구,은천동,62,high
11210790,관악구,성현동,58,high
11210800,관악구,청룡동,61,high
11210810,관악구,난곡동,78,high
11210820,관악구,삼성동,69,high
11210830,관악구,미성동,61,high
11220510,서초구,서초1동,52,high
11220520,서초구,서초2동,32,high
11220530,서초구,서초3동,36,high
11220540,서초구,서초4동,78,high
11220550,서초구,잠원동,45,high
11220570,서초구,반포1동,44,high
11220580,,반포2동,11,low
11220590,,반포3동,40,medium
11220600,서초구,반포4동,37,high
11220610,서초구,방배본동,32,high
11220620,서초구,방배1동,33,high
11220630,서초구,방배2동,44,high
11220640,서초구,방배3동,51,high
11220650,서초구,방배4동,20,high
11220660,서초구,양재1동,37,high
11220670,서초구,양재2동,41,high
11220680,서초구,내곡동,4,high
11230510,강남구,신사동,68,high
11230511,,개포3동,44,medium
11230520,강남구,논현1동,32,high
11230530,강남구,논현2동,24,high
11230580,강남구,삼성1동,46,high
11230590,강남구,삼성2동,32,high
11230600,강남구,대치1동,41,high
11230630,강남구,대치4동,33,high
11230640,강남구,역삼1동,39,high
11230650,강남구,역삼2동,36,high
11230660,강남구,도곡1동,42,high
11230670,강남구,도곡2동,66,high
11230680,강남구,개포1동,67,high
11230710,강남구,개포4동,47,high
11230720,강남구,일원본동,0,high
11230730,강남구,일원1동,41,high
11230750,,수서동,45,medium
11230760,강남구,세곡동,3,high
11230770,강남구,압구정동,47,high
11230780,강남구,청담동,41,high
11230790,강남구,대치2동,64,high
11230800,강남구,개포2동,51,high
11240510,송파구,풍납1동,34,high
11240520,송파구,풍납2동,72,high
11240530,송파구,거여1동,55,high
11240540,송파구,거여2동,34,high
11240550,송파구,마천1동,76,high
11240560,송파구,마천2동,70,high
11240570,송파구,방이1동,34,high
11240580,송파구,방이2동,52,high
11240600,송파구,오금동,53,high
11240610,송파구,송파1동,47,high
11240620,송파구,송파2동,54,high
11240630,송파구,석촌동,45,high
11240640,송파구,삼전동,48,high
11240650,송파구,가락본동,48,high
11240660,,가락1동,31,low
11240670,송파구,가락2동,46,high
11240680,송파구,문정1동,49,high
11240710,송파구,잠실본동,47,high
11240750,,잠실4동,31,low
11240800,,잠실3동,47,low
11240810,송파구,장지동,41,high
11240820,송파구,위례동,28,high
11250530,강동구,명일1동,42,high
11250540,강동구,명일2동,77,high
11250550,강동구,고덕1동,71,high
11250560,강동구,고덕2동,94,high
11250580,강동구,암사2동,57,high
11250590,강동구,암사3동,53,high
11250610,강동구,천호1동,34,high
11250630,강동구,천호3동,51,high
11250650,강동구,성내1동,40,high
11250660,강동구,성내2동,58,high
11250670,강동구,성내3동,37,high
11250710,강동구,둔촌2동,42,high
11250720,강동구,암사1동,34,high
11250730,강동구,천호2동,44,high
11250740,강동구,길동,48,high
11250750,강동구,강일동,44,medium
11250760,강동구,상일동,42,high
11020520,중구,소공동,0,excluded
11150690,양천구,신정6동,0,excluded
11240780,송파구,잠실7동,0,excluded
11250700,강동구,둔촌1동,0,excluded
11150680,강서구,가양3동,0,excluded
11240690,송파구,문정2동,0,excluded
11220560,서초구,반포본동,0,excluded
11110720,노원구,상계8동,0,excluded
11110730,노원구,상계9동,0,excluded
11240590,송파구,오륜동,0,excluded
11240790,송파구,잠실2동,0,excluded
11240760,송파구,잠실6동,0,excluded
11020530,중구,을지로동,0,excluded
