자치구명,행정동,행정동코드,1인가구비율,사회적_고립도,평일_재택률,휴일_재택률,배달_의존도,이동_취약성_거리,이동_취약성_횟수,휴일_활동성,경제적_취약성,거주_불안정성,게임_이용,금융_이용,쇼핑_이용,배달브랜드_이용,배달식재료_이용,영상_서비스_이용,대중교통_이용,출퇴근_부담,근무_강도,종합_취약도
송파구,송파2동,11710111,12,43,73,41,38,38,59,63,16,56,43,38,0,43,49,1,50,21,35,37.8
송파구,오금동,11710109,21,45,68,32,27,32,43,61,22,54,49,37,0,5,20,1,43,25,38,32.8
송파구,위례동,11710120,22,48,54,31,28,13,33,60,24,78,42,29,100,19,45,100,25,33,41,43.4
송파구,잠실2동,11710122,16,54,70,37,14,22,50,64,6,56,68,54,0,36,45,1,31,37,30,36.4
송파구,잠실3동,11710123,15,33,64,41,22,19,55,67,15,56,63,31,0,18,22,1,43,39,61,35.0
송파구,잠실4동,11710124,16,49,61,25,22,21,44,66,0,56,59,31,0,40,43,1,35,30,0,31.5
송파구,잠실6동,11710125,11,32,68,50,25,12,49,68,12,58,59,30,0,40,57,1,28,28,35,34.9
송파구,잠실7동,11710126,2,35,64,30,19,8,33,90,3,11,69,49,0,45,59,1,36,24,24,31.7
송파구,잠실본동,11710121,28,26,73,58,50,23,53,53,51,56,33,27,0,15,42,1,37,22,52,36.8
송파구,장지동,11710119,32,52,63,41,33,30,42,51,24,55,44,44,0,12,38,1,23,30,46,34.8
송파구,풍납1동,11710101,35,74,58,38,38,49,53,40,30,55,42,37,0,48,72,1,31,22,24,39.3
송파구,풍납2동,11710102,24,55,56,28,24,33,52,53,17,56,40,35,0,22,27,1,41,40,42,34.0
양천구,목1동,11470114,19,34,59,25,28,17,57,69,15,56,44,28,0,26,24,1,34,37,47,32.6
양천구,목2동,11470115,31,50,72,42,52,27,64,49,28,48,39,34,0,16,25,1,38,26,37,35.7
양천구,목3동,11470116,32,59,67,45,40,35,67,44,29,55,39,32,0,40,26,1,46,26,51,38.6
양천구,목4동,11470117,31,63,77,48,26,43,69,39,28,54,42,48,0,50,55,1,44,25,32,40.8
양천구,목5동,11470118,10,39,60,25,26,22,68,67,5,56,69,37,0,34,15,1,37,23,36,33.2
양천구,신월1동,11470101,43,66,44,28,32,60,83,31,41,53,34,59,1,51,21,2,56,38,48,41.6
양천구,신월2동,11470102,29,67,69,47,38,58,66,31,7,56,27,51,1,41,44,1,45,38,38,39.7
