순위,GU_NAM,ADM_NM,ADM_CD,disabled_index
378,송파구,장지동,11240810,31
379,마포구,성산2동,11140730,31
380,송파구,삼전동,11240640,31
381,성동구,마장동,11040540,30
382,강동구,명일1동,11250530,30
383,노원구,상계2동,11110660,29
384,강북구,수유1동,11090630,29
385,송파구,방이2동,11240580,29
386,동대문구,이문1동,11060890,29
387,서대문구,남가좌1동,11130690,29
388,양천구,신정2동,11150650,28
389,성북구,월곡2동,11080720,28
390,강북구,인수동,11090750,28
391,구로구,가리봉동,11170700,28
392,강동구,고덕1동,11250550,28
393,서대문구,북아현동,11130740,27
394,강남구,세곡동,11230760,27
395,송파구,오금동,11240600,27
396,노원구,중계본동,11110600,27
397,강서구,화곡4동,11160590,26
398,은평구,증산동,11120670,26
399,영등포구,신길5동,11190670,26
400,동작구,사당5동,11200670,25
401,성북구,동선동,11080830,25
402,용산구,남영동,11030530,24
403,광진구,구의2동,11050610,24
404,강서구,화곡6동,11160610,24
405,강남구,개포3동,11230511,24
406,노원구,상계6·7동,11110770,24
407,성동구,금호4가동,11040620,23
408,서초구,방배1동,11220620,22
409,금천구,시흥3동,11180590,22
410,서초구,서초1동,11220510,22
411,용산구,효창동,11030580,21
412,동작구,신대방2동,11200700,21
413,양천구,신정6동,11150690,21
414,서초구,방배2동,11220630,21
415,광진구,능동,11050590,20
416,강서구,가양1동,11160751,20
417,종로구,이화동,11010640,20
418,종로구,청운효자동,11010720,20
419,서초구,방배3동,11220640,20
420,강동구,상일동,11250760,20
421,종로구,사직동,11010530,20
422,서초구,서초4동,11220540,19
423,강남구,역삼1동,11230640,18
424,중구,을지로동,11020600,16
425,중구,명동,11020550,16
