행정동코드,자치구,행정동,사회적_고립도,1인가구_지수
11050580,광진구,중곡4동,73,33
11050590,광진구,능동,64,31
11050600,광진구,구의1동,64,32
11050610,광진구,구의2동,72,32
11050620,광진구,구의3동,56,20
11050630,광진구,광장동,39,16
11050640,광진구,자양1동,77,37
11050650,광진구,자양2동,62,25
11050660,광진구,자양3동,48,25
11050670,광진구,자양4동,75,38
11060710,동대문구,회기동,70,48
11060720,동대문구,휘경1동,69,34
11060730,동대문구,휘경2동,73,24
11060800,동대문구,청량리동,76,54
11060810,동대문구,용신동,65,42
11060820,동대문구,제기동,53,49
11060830,동대문구,전농1동,83,46
11060840,동대문구,전농2동,78,25
11060860,동대문구,답십리2동,78,35
11060870,동대문구,장안1동,58,30
11060880,동대문구,장안2동,64,26
11060890,동대문구,이문1동,84,36
11060900,동대문구,이문2동,88,29
11060910,동대문구,답십리1동,74,31
11070520,중랑구,면목2동,79,42
11070540,중랑구,면목4동,80,36
11070550,중랑구,면목5동,79,44
11070570,중랑구,면목7동,74,38
11070590,중랑구,상봉1동,85,35
11070600,중랑구,상봉2동,81,46
11070610,중랑구,중화1동,78,28
11070620,중랑구,중화2동,93,55
11070640,중랑구,묵1동,69,23
11070650,중랑구,묵2동,73,38
11070680,중랑구,망우3동,89,49
11070690,중랑구,신내1동,73,26
11070700,중랑구,신내2동,84,42
11070710,중랑구,면목본동,92,41
11070720,중랑구,면목3·8동,76,40
11070730,중랑구,망우본동,74,43
11080580,성북구,돈암1동,89,36
11080590,성북구,돈암2동,69,21
11080600,성북구,안암동,58,37
11080610,성북구,보문동,73,36
11080620,성북구,정릉1동,82,27
11080630,성북구,정릉2동,74,22
11080640,성북구,정릉3동,53,27
11080650,성북구,정릉4동,68,29
11080660,성북구,길음1동,86,24
11080680,성북구,길음2동,76,35
11080710,성북구,월곡1동,88,27
11080720,성북구,월곡2동,84,29
11080760,성북구,장위1동,81,34
11080770,성북구,장위2동,83,37
11080780,성북구,장위3동,69,23
11080810,성북구,성북동,45,23
11080820,성북구,삼선동,85,30
11080830,성북구,동선동,65,38
11080840,성북구,종암동,81,31
11080850,성북구,석관동,80,31
11090600,강북구,번1동,81,37
11090610,강북구,번2동,95,52
11090620,강북구,번3동,93,56
11090630,강북구,수유1동,93,48
11090640,강북구,수유2동,78,32
11090650,강북구,수유3동,86,38
11090690,강북구,삼양동,93,34
11090700,강북구,미아동,85,43
11090710,강북구,송중동,85,41
11090720,강북구,송천동,98,49
11090730,강북구,삼각산동,87,35
11090740,강북구,우이동,71,34
11090750,강북구,인수동,84,37
11100510,도봉구,쌍문1동,79,30
11100520,도봉구,쌍문2동,84,38
11100530,도봉구,쌍문3동,90,39
11100540,도봉구,쌍문4동,84,20
11100550,도봉구,방학1동,78,35
11100560,도봉구,방학2동,86,48
11100570,도봉구,방학3동,75,25
11100590,도봉구,창1동,83,39
11100600,도봉구,창2동,90,33
11100610,도봉구,창3동,95,39
11100620,도봉구,창4동,86,26
11100630,도봉구,창5동,82,29
11100640,도봉구,도봉1동,91,46
11100650,도봉구,도봉2동,82,31
11110510,노원구,월계1동,80,30
11110520,노원구,월계2동,94,55
11110530,노원구,월계3동,86,48
11110560,노원구,공릉2동,70,24
11110580,노원구,하계1동,86,62
11110590,노원구,하계2동,85,35
11110600,노원구,중계본동,76,30
11110610,노원구,중계1동,95,33
11110640,노원구,중계4동,93,51
11110650,노원구,상계1동,80,32
11110660,노원구,상계2동,80,33
11110690,노원구,상계5동,85,50
11110720,노원구,상계8동,97,42
11110730,노원구,상계9동,96,40
11110740,노원구,상계10동,92,40
11110760,노원구,상계3·4동,84,50
11110770,노원구,상계6·7동,93,43
11110780,노원구,중계2·3동,100,57
11110790,노원구,공릉1동,70,39
11120510,은평구,녹번동,80,40
11120520,은평구,불광1동,85,38
11120550,은평구,갈현1동,73,34
11120560,은평구,갈현2동,86,28
11120570,은평구,구산동,84,24
11120580,은평구,대조동,81,43
11120590,은평구,응암1동,80,30
11120600,은평구,응암2동,80,36
11120650,은평구,신사1동,80,27
11120660,은평구,신사2동,77,33
11120670,은평구,증산동,60,26
11120680,은평구,수색동,72,38
11120710,은평구,진관동,73,14
11120720,은평구,불광2동,92,47
11120730,은평구,응암3동,92,40
11120740,은평구,역촌동,88,34
11130520,서대문구,천연동,83,46
11130620,서대문구,홍제1동,76,30
11130640,서대문구,홍제3동,84,37
11130650,서대문구,홍제2동,83,36
11130660,서대문구,홍은1동,74,34
11130680,서대문구,홍은2동,70,25
11130690,서대문구,남가좌1동,77,30
11130700,서대문구,남가좌2동,78,34
11130710,서대문구,북가좌1동,72,25
11130720,서대문구,북가좌2동,77,33
11130730,서대문구,충현동,66,30
11130740,서대문구,북아현동,82,43
11130750,서대문구,신촌동,61,33
11130760,서대문구,연희동,56,26
11140590,마포구,용강동,70,31
11140600,마포구,대흥동,77,46
11140610,마포구,염리동,85,34
11140630,마포구,신수동,62,27
11140660,마포구,서교동,47,22
11140680,마포구,합정동,66,27
11140690,마포구,망원1동,73,25
11140700,마포구,망원2동,81,24
11140710,마포구,연남동,76,29
11140720,마포구,성산1동,84,23
11140730,마포구,성산2동,82,44
11140740,마포구,상암동,68,22
11140750,마포구,도화동,65,36
11140760,마포구,서강동,50,27
11140770,마포구,공덕동,80,39
11140780,마포구,아현동,83,29
11150510,양천구,목1동,42,18
11150520,양천구,목2동,59,31
11150530,양천구,목3동,67,32
11150540,양천구,목4동,70,31
11150570,양천구,신월1동,73,44
11150580,양천구,신월2동,71,29
11150590,양천구,신월3동,79,53
11150600,양천구,신월4동,68,26
11150610,양천구,신월5동,69,32
11150620,양천구,신월6동,66,32
11150630,양천구,신월7동,81,46
11150640,양천구,신정1동,69,22
11150650,양천구,신정2동,63,34
11150660,양천구,신정3동,63,30
11150690,양천구,신정6동,49,15
11150700,양천구,신정7동,78,48
11150710,양천구,목5동,52,10
11150720,양천구,신정4동,62,34
11160510,강서구,염창동,62,13
11160520,강서구,등촌1동,71,36
11160530,강서구,등촌2동,65,19
11160540,강서구,등촌3동,95,66
11160550,강서구,화곡본동,67,32
11160570,강서구,화곡2동,78,32
11160580,강서구,화곡3동,67,19
11160590,강서구,화곡4동,71,32
11160610,강서구,화곡6동,48,24
11160630,강서구,화곡8동,83,29
11160650,강서구,가양2동,93,73
11160660,강서구,가양3동,95,71
11160670,강서구,발산1동,69,28
11160690,강서구,공항동,63,31
11160700,강서구,방화1동,72,25
11160710,강서구,방화2동,75,46
11160730,강서구,화곡1동,79,37
11160740,강서구,우장산동,65,15
11160751,강서구,가양1동,54,23
11160761,강서구,방화3동,76,58
11170510,구로구,신도림동,65,15
11170520,구로구,구로1동,70,16
11170540,구로구,구로3동,78,32
11170550,구로구,구로4동,89,42
11170560,구로구,구로5동,67,23
11170610,구로구,고척1동,75,27
11170620,구로구,고척2동,80,31
11170640,구로구,개봉2동,76,21
11170650,구로구,개봉3동,84,28
11170670,구로구,오류1동,74,38
11170690,구로구,수궁동,68,32
11170700,구로구,가리봉동,81,69
11170710,구로구,구로2동,82,34
11170720,구로구,개봉1동,82,40
11170730,구로구,오류2동,67,32
11170740,구로구,항동,67,32
11180510,금천구,가산동,77,50
11180520,금천구,독산1동,66,37
11180530,금천구,독산2동,81,42
11180540,금천구,독산3동,78,37
11180550,금천구,독산4동,85,40
11180570,금천구,시흥1동,74,39
11180580,금천구,시흥2동,58,32
11180590,금천구,시흥3동,63,30
11180600,금천구,시흥4동,73,37
11180610,금천구,시흥5동,76,48
11190540,영등포구,여의동,38,18
11190550,영등포구,당산1동,58,42
11190560,영등포구,당산2동,61,15
11190610,영등포구,양평1동,74,32
11190620,영등포구,양평2동,69,16
11190630,영등포구,신길1동,70,49
11190650,영등포구,신길3동,79,44
11190660,영등포구,신길4동,88,42
11190670,영등포구,신길5동,79,43
11190680,영등포구,신길6동,68,31
11190690,영등포구,신길7동,64,16
11190700,영등포구,대림1동,77,39
11190710,영등포구,대림2동,70,32
11190720,영등포구,대림3동,66,33
11190730,영등포구,영등포본동,83,34
11190740,영등포구,영등포동,62,43
11190750,영등포구,도림동,75,38
11190760,영등포구,문래동,62,22
11200520,동작구,노량진2동,65,48
11200530,동작구,상도1동,66,25
11200540,동작구,상도2동,66,22
11200550,동작구,상도3동,78,23
11200560,동작구,상도4동,78,29
11200630,동작구,사당1동,53,28
11200650,동작구,사당3동,66,18
11200660,동작구,사당4동,63,36
11200670,동작구,사당5동,58,29
11200680,동작구,대방동,68,34
11200690,동작구,신대방1동,59,27
11200700,동작구,신대방2동,59,23
11200710,동작구,흑석동,66,24
11200720,동작구,노량진1동,61,32
11200730,동작구,사당2동,61,27
11210520,관악구,보라매동,83,33
11210540,관악구,청림동,79,32
11210570,관악구,행운동,60,28
11210580,관악구,낙성대동,58,27
11210610,관악구,중앙동,77,35
11210620,관악구,인헌동,63,24
11210630,관악구,남현동,42,22
11210640,관악구,서원동,69,31
11210650,관악구,신원동,78,38
11210660,관악구,서림동,59,26
11210680,관악구,신사동,68,35
11210690,관악구,신림동,36,33
11210710,관악구,난향동,79,34
11210720,관악구,조원동,63,31
11210730,관악구,대학동,39,27
11210780,관악구,은천동,78,31
11210790,관악구,성현동,79,41
11210800,관악구,청룡동,49,33
11210810,관악구,난곡동,89,48
11210820,관악구,삼성동,79,43
11210830,관악구,미성동,66,25
11220510,서초구,서초1동,30,10
11220520,서초구,서초2동,41,22
11220530,서초구,서초3동,17,10
11220540,서초구,서초4동,36,6
11220550,서초구,잠원동,43,23
11220560,서초구,반포본동,28,6
11220570,서초구,반포1동,40,14
11220580,서초구,반포2동,34,14
11220590,서초구,반포3동,57,18
11220600,서초구,반포4동,20,10
11220610,서초구,방배본동,19,10
11220620,서초구,방배1동,23,12
11220630,서초구,방배2동,42,25
11220640,서초구,방배3동,38,11
11220650,서초구,방배4동,28,22
11220660,서초구,양재1동,39,26
11220670,서초구,양재2동,31,29
11220680,서초구,내곡동,19,22
11230510,강남구,신사동,27,19
11230511,강남구,개포3동,70,62
11230520,강남구,논현1동,15,25
11230530,강남구,논현2동,19,12
11230580,강남구,삼성1동,12,12
11230590,강남구,삼성2동,20,13
11230600,강남구,대치1동,33,0
11230630,강남구,대치4동,25,21
11230640,강남구,역삼1동,6,21
11230650,강남구,역삼2동,37,19
11230660,강남구,도곡1동,20,9
11230670,강남구,도곡2동,26,11
11230680,강남구,개포1동,34,24
11230710,강남구,개포4동,35,20
11230720,강남구,일원본동,51,22
11230730,강남구,일원1동,58,48
11230750,강남구,수서동,84,84
11230760,강남구,세곡동,46,27
11230770,강남구,압구정동,12,16
11230780,강남구,청담동,15,15
11230790,강남구,대치2동,41,6
11230800,강남구,개포2동,42,31
11240510,송파구,풍납1동,81,35
11240520,송파구,풍납2동,64,24
11240530,송파구,거여1동,82,32
11240540,송파구,거여2동,78,42
11240550,송파구,마천1동,71,40
11240560,송파구,마천2동,79,37
11240570,송파구,방이1동,51,13
11240580,송파구,방이2동,41,26
11240590,송파구,오륜동,52,8
11240600,송파구,오금동,54,21
11240610,송파구,송파1동,36,25
11240620,송파구,송파2동,53,12
11240630,송파구,석촌동,43,36
11240640,송파구,삼전동,42,26
11240650,송파구,가락본동,41,23
11240660,송파구,가락1동,21,19
11240670,송파구,가락2동,50,18
11240680,송파구,문정1동,53,13
11240690,송파구,문정2동,51,7
11240710,송파구,잠실본동,39,28
11240750,송파구,잠실4동,57,16
11240770,송파구,잠실6동,44,12
11240780,송파구,잠실7동,49,3
11240790,송파구,잠실2동,65,16
11240800,송파구,잠실3동,45,15
11240810,송파구,장지동,61,32
11240820,송파구,위례동,57,22
11250530,강동구,명일1동,59,28
11250540,강동구,명일2동,62,11
11250550,강동구,고덕1동,51,23
11250560,강동구,고덕2동,73,40
11250580,강동구,암사2동,65,28
11250590,강동구,암사3동,65,11
11250610,강동구,천호1동,70,34
11250630,강동구,천호3동,76,44
11250650,강동구,성내1동,56,19
11250660,강동구,성내2동,76,40
11250670,강동구,성내3동,59,29
11250700,강동구,둔촌1동,34,20
11250710,강동구,둔촌2동,58,33
11250720,강동구,암사1동,78,36
11250730,강동구,천호2동,74,39
11250740,강동구,길동,65,31
11250750,강동구,강일동,62,21
11250760,강동구,상일동,54,28
